Minisector,BOT,HUL,Fastest
0,251.72951297777777,258.90984842256256,HUL
1,281.39039569846756,295.01342259809525,HUL
2,174.66178816000001,162.80986946831015,BOT
3,172.9445411549941,171.18014782745098,BOT
4,261.64635821090263,262.40258865094154,HUL
5,277.21636587775635,269.4375001212121,BOT
6,234.84500096,218.08344430944072,BOT
7,206.7024912271147,193.4238193422222,BOT
8,165.70928331956986,151.82967530683882,BOT
9,221.49320794074072,225.73553847980108,HUL
10,277.7098576074608,278.9156465052154,HUL
11,124.43788251097682,119.45608592873592,BOT
12,220.16944209382714,226.36958511040197,HUL
13,272.2607703945578,284.73254003809524,HUL
14,290.5961165061224,312.27347933121695,HUL
15,296.9260964491228,319.89770837333333,HUL
16,230.75666819000173,218.22696042295834,BOT
17,140.02344885581397,136.93879216582823,BOT
18,141.43351329626353,141.0728769739814,BOT
19,124.85521753935208,125.44186849416758,HUL
20,234.53974557407932,228.9933232136752,BOT
21,260.71985863896106,254.7809740733085,BOT
22,240.15180324548678,230.5437063828411,BOT
23,216.8538138638448,213.81083754955299,BOT
24,149.03046732,146.15730879688246,BOT
25,224.53333333333333,,BOT
