X,Y,Minisector,Fastest
-356.33689624789776,4230.498982644771,0,GAS
-365.0,4217.0,0,GAS
-396.8000968642656,4171.675890735792,0,GAS
-406.0,4159.0,0,GAS
-446.09146216414916,4104.644993034081,0,GAS
-452.0,4097.0,0,GAS
-501.292759998012,4036.9967941805303,0,GAS
-503.0,4035.0,0,GAS
-560.0,3971.0,0,GAS
-563.6241035758154,3967.156102899526,0,GAS
-623.0,3907.0,0,GAS
-631.8508054002706,3898.2670462951746,0,GAS
-692.0,3844.0,0,GAS
-720.4731716588005,3821.3121294027474,0,GAS
-829.0,3740.0,0,GAS
-862.7075091429529,3717.2385109259585,0,GAS
-916.0,3686.0,0,GAS
-952.8774983481669,3664.8461275368513,0,GAS
-1007.0,3635.0,0,GAS
-1052.9959368056116,3612.0721240833964,0,GAS
-1096.0,3592.0,0,GAS
-1146.689691075608,3569.108465363721,0,GAS
-1180.0,3555.0,0,GAS
-1237.49802886041,3532.988040009753,0,GAS
-1263.0,3524.0,1,OCO
-1326.5361591294095,3503.3657587662046,1,OCO
-1344.0,3498.0,1,OCO
-1412.9257983966945,3477.8180018077846,1,OCO
-1423.0,3475.0,1,OCO
-1500.065355571475,3454.710827512601,1,OCO
-1503.0,3454.0,1,OCO
-1584.0,3436.0,1,OCO
-1588.3809453835042,3435.0716339402147,1,OCO
-1664.0,3420.0,1,OCO
-1675.820426915687,3417.9848231235455,1,OCO
-1746.0,3408.0,1,OCO
-1765.2026078147105,3405.778426176299,1,OCO
-1827.0,3400.0,1,OCO
-1853.9408728541541,3398.0199758307244,1,OCO
-1910.0,3395.0,1,OCO
-1944.9541734035643,3394.0028642947836,1,OCO
-1994.0,3394.0,1,OCO
-2022.3963807368104,3394.886885466527,1,OCO
-2080.0,3398.0,1,OCO
-2116.166329446481,3400.193078464727,1,OCO
-2158.0,3403.0,1,OCO
-2209.1143747508872,3406.959438580042,1,OCO
-2243.0,3410.0,1,OCO
-2300.980936678481,3416.084753667963,1,OCO
-2327.0,3419.0,2,GAS
-2393.577396567257,3426.7149492165668,2,GAS
-2412.0,3429.0,2,GAS
