Minisector,BOT,OCO,Fastest
0,257.6705217735752,264.6153689256651,OCO
1,132.74718074934498,126.0732283643139,BOT
2,263.0421134145893,267.2963538210653,OCO
3,303.3173114902327,315.57857131428574,OCO
4,302.84174114285713,315.4816165048051,OCO
5,309.08636979157575,325.10246913580244,OCO
6,315.2905863901235,339.72457404175753,OCO
7,316.69283943427456,345.1347618864762,OCO
8,205.07385736069347,199.6787042291012,BOT
9,198.11608139537566,190.53075801788702,BOT
10,184.47436734303437,183.52353136079384,BOT
11,167.42925946472192,160.93329238585952,BOT
12,252.37828293414955,248.6227257790439,BOT
13,276.2866056894407,267.29820613403734,BOT
14,279.43905668253626,276.22614223655916,BOT
15,279.18456363614524,276.721430148866,BOT
16,182.32092719325144,184.8597060757177,OCO
17,193.22027229798033,190.247914134683,BOT
18,241.19366301681043,238.3433192826275,BOT
19,286.23177840865617,286.4843672123736,OCO
20,305.8114582761905,310.41322101971673,OCO
21,312.12890514957223,318.561464322856,OCO
22,309.83776453192235,315.40463892508126,OCO
23,260.64389364343367,269.93148271090706,OCO
24,114.25145466071461,110.1052183735483,BOT
25,227.5249984,224.8000014222222,BOT
