Minisector,HAM,GIO,Fastest
0,273.79089511073386,271.8126738222222,HAM
1,289.60054292268376,288.4733134610969,HAM
2,224.0494097715,222.64166569195402,HAM
3,133.57981578533315,126.9149977458458,HAM
4,186.4806673202878,183.74460122740035,HAM
5,125.86287764483005,121.6591281866755,HAM
6,212.50847029333332,209.29019341291573,HAM
7,265.89732049882406,258.3929185128814,HAM
8,186.6528033063782,177.96397930669139,HAM
9,183.3690630993753,174.5644854215948,HAM
10,264.09068247453416,260.17078597485715,HAM
11,192.75345730331827,195.91003751143782,GIO
12,168.91007230607394,160.49041730666667,HAM
13,256.6732640284792,254.27806575339358,HAM
14,272.48778437432713,268.7731626401656,HAM
15,286.9172149984753,282.41656775686107,HAM
16,209.76315709460317,202.391369,HAM
17,204.80153925124233,193.94605654761904,HAM
18,247.39320849382716,237.5088605069597,HAM
19,282.86261394819354,277.5081944444444,HAM
20,293.03939374545456,288.7465639203463,HAM
21,211.0667981551594,223.18964317588978,GIO
22,154.1966769417944,138.82344934718614,HAM
23,164.60127067517965,158.95321260937934,HAM
24,227.25946109688013,215.82262487024065,HAM
25,260.31380698012947,256.57549317093793,HAM
