Minisector,VER,HUL,Fastest
0,276.0863088253968,277.7659712888889,HUL
1,292.25113624242425,297.4413417993586,HUL
2,232.26616994857,225.92428443218392,VER
3,133.50799058686064,125.97348679756229,VER
4,194.67525172640694,184.79255221329777,VER
5,127.39811665324238,121.20906493455601,VER
6,210.46065029646903,208.81918930968752,VER
7,267.4409727111111,257.25462463223283,VER
8,193.9855807821419,175.79013176077092,VER
9,181.98719200653062,181.08932628880515,VER
10,264.8975209989553,265.53349934933334,HUL
11,195.66188903434343,185.5191174999304,VER
12,163.64028533545397,161.36996045056054,VER
13,256.7188328533333,258.84455933525066,HUL
14,272.48256891153807,276.84897151861475,HUL
15,285.7464012606061,289.8682288577707,HUL
16,218.79632576763615,200.7959464238095,VER
17,199.78125458214285,185.7744353985816,VER
18,245.31727791795643,244.34799803733335,VER
19,281.8469693090909,285.852868561446,HUL
20,291.533980263354,296.82777771247163,HUL
21,209.81967374215708,194.72769832655732,VER
22,149.16002529113365,149.35337106575963,HUL
23,162.56323199942716,153.41772513021144,VER
24,226.48738068218447,229.19011740186636,HUL
25,260.1124992,,VER
