Minisector,VER,PER,Fastest
0,276.0863088253968,277.55383101809457,PER
1,292.25113624242425,296.79318204675326,PER
2,232.26616994857,223.67488055697865,VER
3,133.50799058686064,128.95022509576435,VER
4,194.67525172640694,186.37350856906383,VER
5,127.39811665324238,118.93248628644236,VER
6,210.46065029646903,217.67770772807881,PER
7,267.4409727111111,264.80716041015035,VER
8,193.9855807821419,174.24824680635558,VER
9,181.98719200653062,185.70705282223173,PER
10,264.8975209989553,268.4604158222222,PER
11,195.66188903434343,176.39578987042444,VER
12,163.64028533545397,171.24297879820543,PER
13,256.7188328533333,260.36621215411964,PER
14,272.48256891153807,276.5883676,PER
15,285.7464012606061,290.29692152556225,PER
16,218.79632576763615,200.99697118383838,VER
17,199.78125458214285,199.56177992012934,VER
18,245.31727791795643,247.31413530793648,PER
19,281.8469693090909,286.1969804314193,PER
20,291.533980263354,297.4522391147392,PER
21,209.81967374215708,188.93756912467177,VER
22,149.16002529113365,156.81903138118466,PER
23,162.56323199942716,154.5954207783024,VER
24,226.48738068218447,231.93207102889423,PER
25,260.1124992,,VER
