X,Y,Minisector,Fastest
-1461.1403971551008,-1603.4029174127895,0,KVY
-1491.0,-1605.0,0,KVY
-1558.1093786875488,-1608.700124869579,0,KVY
-1669.0,-1615.0,0,KVY
-1752.1412533614164,-1619.6909118515264,0,KVY
-1847.0,-1625.0,0,KVY
-1948.052730779145,-1630.6049903720327,0,KVY
-2028.0,-1635.0,0,KVY
-2145.406950547478,-1641.403516636068,0,KVY
-2209.0,-1645.0,0,KVY
-2345.2402886149675,-1653.1645086129595,0,KVY
-2393.0,-1656.0,0,KVY
-2545.1966499806986,-1664.4666557656128,0,KVY
-2577.0,-1666.0,0,KVY
-2746.745826638118,-1672.5250526493246,0,KVY
-2762.0,-1673.0,0,KVY
-2950.0,-1678.0,0,KVY
-2951.710736624706,-1678.0468885231555,0,KVY
-3138.0,-1684.0,0,KVY
-3156.8420162384377,-1684.7540034134204,0,KVY
-3327.0,-1692.0,0,KVY
-3363.2386081329846,-1693.1701266803468,0,KVY
-3517.0,-1696.0,1,KVY
-3604.6868196148243,-1695.831575127558,1,KVY
-3706.0,-1693.0,1,KVY
-3811.0389362213746,-1685.842906951923,1,KVY
-3896.0,-1677.0,1,KVY
-4020.4526254323755,-1659.3864518310386,1,KVY
-4088.0,-1648.0,1,KVY
-4230.282433359327,-1620.526608160802,1,KVY
-4280.0,-1610.0,1,KVY
-4439.763184155489,-1573.592159841822,1,KVY
-4472.0,-1566.0,1,KVY
-4648.267247690452,-1523.6313014510808,1,KVY
-4663.0,-1520.0,1,KVY
-4854.0,-1472.0,1,KVY
-4856.626745811597,-1471.3425451658654,1,KVY
-5028.0,-1429.0,1,KVY
-5061.7739732687905,-1420.7954822814208,1,KVY
-5203.0,-1387.0,1,KVY
-5259.389156901189,-1373.612862931942,1,KVY
-5413.0,-1338.0,2,KVY
-5523.84793176256,-1314.344152163753,2,KVY
-5608.0,-1298.0,2,KVY
-5723.927063244298,-1278.3768863832356,2,KVY
-5789.0,-1269.0,2,KVY
-5897.8149363558605,-1255.6284599460905,2,KVY
-5986.0,-1247.0,2,KVY
-6115.914390387175,-1238.2276102128378,2,KVY
-6186.0,-1235.0,2,KVY
-6334.889334673965,-1230.8409825178785,2,KVY
-6387.0,-1230.0,2,KVY
-6554.211465921435,-1228.9351448798686,2,KVY
-6588.0,-1229.0,2,KVY
-6773.427765000783,-1230.783478120474,2,KVY
-6789.0,-1231.0,2,KVY
-6991.0,-1235.0,2,KVY
-6993.748868305082,-1235.0858305943877,2,KVY
-7192.0,-1244.0,2,KVY
-7213.001100869495,-1245.2423806378972,2,KVY
-7393.0,-1258.0,3,KVY
-7432.333047251586,-1261.207469194573,3,KVY
-7594.0,-1276.0,3,KVY
-7651.143301162032,-1281.9420542051753,3,KVY
-7793.0,-1298.0,3,KVY
-7868.156258255425,-1306.8977938370945,3,KVY
-7992.0,-1322.0,3,KVY
-8084.318154106189,-1333.511579812928,3,KVY
-8189.0,-1347.0,3,KVY
-8299.687982454292,-1361.9770222691945,3,KVY
-8387.0,-1374.0,3,KVY
-8514.28521700077,-1391.4643420890393,3,KVY
-8584.0,-1401.0,3,KVY
-8728.428728843968,-1420.7579965064747,3,KVY
-8780.0,-1428.0,3,KVY
-8941.36098988416,-1451.7553796494171,3,KVY
-8975.0,-1457.0,3,KVY
-9152.558972118759,-1487.0703599531316,3,KVY
-9168.0,-1490.0,3,KVY
-9349.0,-1530.0,4,LEC
-9350.563248845325,-1530.4073010828804,4,LEC
-9511.0,-1578.0,4,LEC
-9526.051697906056,-1582.7134937062906,4,LEC
-9653.0,-1623.0,4,LEC
-9678.44140774282,-1631.1223369344787,4,LEC
-9781.0,-1664.0,4,LEC
-9814.697994611146,-1674.8782646961602,4,LEC
-9896.0,-1701.0,4,LEC
-9937.294433768295,-1713.8806000814352,4,LEC
-10003.0,-1734.0,4,LEC
-10050.383374635281,-1748.5200862657439,4,LEC
-10103.0,-1765.0,4,LEC
-10158.032994907971,-1783.0891874237761,4,LEC
-10198.0,-1798.0,4,LEC
-10247.371705882611,-1821.3331041956296,4,LEC
-10265.0,-1832.0,4,LEC
-10313.24551451419,-1871.1636551981135,4,LEC
-10322.0,-1880.0,4,LEC
-10361.79677128254,-1932.2150230744226,4,LEC
-10365.0,-1938.0,4,LEC
-10400.0,-2026.0,4,LEC
-10400.264511839305,-2026.9035338397532,4,LEC
-10425.0,-2133.0,4,LEC
-10427.77565958632,-2144.7507822291914,4,LEC
-10455.0,-2244.0,4,LEC
-10461.784165019768,-2263.0892993870275,4,LEC
-10494.0,-2333.0,4,LEC
-10507.929162094884,-2357.043096424637,4,LEC
-10550.0,-2416.0,4,LEC
-10577.851030615595,-2446.532622070884,4,LEC
-10631.0,-2495.0,4,LEC
-10675.062369851892,-2528.7310439531007,5,KVY
-10729.0,-2565.0,5,KVY
-10789.73224525789,-2601.8361298978534,5,KVY
-10839.0,-2630.0,5,KVY
-10932.174313742376,-2681.491854168627,5,KVY
-10951.0,-2692.0,5,KVY
-11054.294207076327,-2751.0223594151594,5,KVY
-11063.0,-2756.0,5,KVY
-11177.0,-2821.0,5,KVY
-11199.66819435494,-2834.132723631811,5,KVY
-11294.0,-2890.0,5,KVY
-11327.6586454162,-2910.54851224816,5,KVY
-11411.0,-2964.0,5,KVY
-11474.723792245277,-3009.3901614527485,5,KVY
-11523.0,-3048.0,5,KVY
-11589.69602868598,-3110.259373491261,5,KVY
-11623.0,-3147.0,5,KVY
-11686.484893590032,-3232.333531055212,5,KVY
-11707.0,-3265.0,5,KVY
-11764.10224764924,-3373.8782714135705,5,KVY
-11775.0,-3398.0,5,KVY
-11828.493752122808,-3532.9169746522125,5,KVY
-11833.0,-3545.0,5,KVY
-11886.0,-3691.0,5,KVY
-11886.47770447656,-3692.325989744828,5,KVY
-11939.0,-3837.0,5,KVY
-11944.399195596743,-3851.533401175444,5,KVY
-11994.0,-3983.0,6,KVY
-12015.099283919277,-4039.4668893344387,6,KVY
-12050.0,-4133.0,6,KVY
-12073.724448459288,-4195.4351728144775,6,KVY
-12102.0,-4270.0,6,KVY
-12136.114495310745,-4362.054461788542,6,KVY
-12164.0,-4437.0,6,KVY
-12202.703803456228,-4538.53763738771,6,KVY
-12223.0,-4592.0,6,KVY
-12276.44388895228,-4735.808560357962,6,KVY
-12281.0,-4748.0,6,KVY
-12341.0,-4907.0,6,KVY
-12341.813093896952,-4909.167271760472,6,KVY
-12395.0,-5052.0,6,KVY
-12417.204665819392,-5111.457546671578,6,KVY
-12455.0,-5212.0,6,KVY
-12483.295079446829,-5286.596978547969,6,KVY
-12516.0,-5373.0,6,KVY
-12549.259015727115,-5462.207800927808,6,KVY
-12576.0,-5534.0,6,KVY
-12615.332040736055,-5638.515213339379,6,KVY
-12637.0,-5696.0,6,KVY
-12671.041306143192,-5786.593636847559,7,LEC
-12698.0,-5858.0,7,LEC
-12738.209223750217,-5963.2360463330015,7,LEC
-12760.0,-6020.0,7,LEC
-12806.413868316899,-6140.598745729578,7,LEC
-12823.0,-6183.0,7,LEC
-12877.373096011226,-6318.34245534202,7,LEC
-12888.0,-6344.0,7,LEC
-12944.777138912232,-6476.7979126660775,7,LEC
-12950.0,-6489.0,7,LEC
-13024.0,-6664.0,7,LEC
-13061.823488916056,-6755.429607404877,7,LEC
-13089.0,-6825.0,7,LEC
-13124.954522436303,-6927.464026796762,7,LEC
-13140.0,-6978.0,7,LEC
-13158.97916892901,-7069.414637284563,7,LEC
-13163.0,-7102.0,7,LEC
-13168.887310523554,-7218.529454393988,7,LEC
-13168.0,-7243.0,7,LEC
-13150.075415997826,-7377.854442240187,7,LEC
-13148.0,-7389.0,7,LEC
-13117.0,-7529.0,7,LEC
-13116.551070491156,-7530.830140375698,7,LEC
-13084.0,-7657.0,8,LEC
-13080.752196090543,-7669.717758347901,8,LEC
-13055.0,-7774.0,8,LEC
-13049.887949353586,-7795.29140986939,8,LEC
-13031.0,-7882.0,8,LEC
-13026.489572343125,-7910.8587623773365,8,LEC
-13020.0,-7981.0,8,LEC
-13019.2087591378,-8015.223917646737,8,LEC
-13023.0,-8070.0,8,LEC
-13031.322077318278,-8108.8917079532475,8,LEC
-13047.0,-8152.0,8,LEC
-13070.23301772215,-8194.180030177316,8,LEC
-13096.0,-8228.0,8,LEC
-13146.918830112963,-8279.105530244919,8,LEC
-13180.0,-8308.0,8,LEC
-13256.469591578048,-8369.06443548367,8,LEC
-13283.0,-8390.0,8,LEC
-13358.043384146107,-8450.822190090727,8,LEC
-13373.0,-8463.0,8,LEC
-13456.882722571916,-8531.140981274066,8,LEC
-13464.0,-8537.0,8,LEC
-13557.0,-8615.0,8,LEC
-13558.27754896666,-8616.082986177878,8,LEC
-13651.0,-8695.0,8,LEC
-13660.79700156618,-8703.310332421648,8,LEC
-13740.0,-8770.0,8,LEC
-13772.194855685239,-8796.814294342792,8,LEC
-13859.0,-8869.0,8,LEC
-13899.224255845133,-8902.875437088383,8,LEC
-13962.0,-8957.0,8,LEC
-14008.782054697669,-8998.845975107433,8,LEC
-14063.0,-9049.0,8,LEC
-14118.529987652377,-9102.318202010722,9,LEC
-14163.0,-9146.0,9,LEC
-14209.809963101301,-9192.551133840634,9,LEC
-14263.0,-9246.0,9,LEC
-14318.849247155116,-9302.547162255829,9,LEC
-14363.0,-9347.0,9,LEC
-14428.47527083992,-9411.845876658768,9,LEC
-14464.0,-9447.0,9,LEC
-14539.538553608165,-9522.41973942268,9,LEC
-14565.0,-9548.0,9,LEC
-14640.976179104036,-9625.213674479977,9,LEC
-14655.0,-9640.0,9,LEC
-14723.726314289172,-9716.81250499576,9,LEC
-14729.0,-9723.0,9,LEC
-14790.0,-9799.0,9,LEC
-14790.694086071766,-9799.948189298355,9,LEC
-14832.0,-9865.0,9,LEC
