Minisector,RAI,GIO,Fastest
0,300.3310370394558,293.7596588121212,RAI
1,319.9392428980514,305.91636737288115,RAI
2,328.8837541839474,311.38201784475405,RAI
3,332.6092106105263,310.52604181333334,RAI
4,194.1512159769809,192.79973469250382,RAI
5,222.0858384826602,219.63951834013605,RAI
6,270.8328476682017,269.1495963526745,RAI
7,276.8304847132811,269.712014178355,RAI
8,189.6569181854331,192.40791556759913,GIO
9,156.90887399846986,158.18176385425204,GIO
10,189.57720622089224,185.54335093485886,RAI
11,262.6821165449275,260.5014487188406,RAI
12,253.70763788198568,254.5205506059636,GIO
13,224.28594895492682,226.89644969876542,GIO
14,273.1577435399796,274.2139677752828,GIO
15,177.10382453008867,172.527227539358,RAI
16,221.5890472632937,218.8671944797312,RAI
17,245.8409164138078,251.75720246455225,GIO
18,135.14957313404634,135.56647424494983,GIO
19,238.7624754102857,239.48499936274538,GIO
20,281.9844137921827,278.8265870730159,RAI
21,254.54587995532498,269.62284298450874,GIO
22,143.99964906614431,144.25360538732818,GIO
23,208.17557376420362,206.29732393360422,RAI
24,273.1742772825737,269.9590547664353,RAI
25,,285.52499911111113,GIO
