Minisector,HAM,KVY,Fastest
0,323.8878786181818,328.3282150059422,KVY
1,331.33901586475565,344.2277775746032,KVY
2,327.95221870822513,344.8061508571428,KVY
3,195.50090044803142,192.92089659759768,HAM
4,124.46450147814976,120.51306036300267,HAM
5,265.20335584197534,265.39478577995357,KVY
6,301.86765845079367,300.8125734121306,HAM
7,316.330615884058,308.2894096888889,HAM
8,282.2211918872381,262.2326564734694,HAM
9,151.71935126241135,145.44515542476944,HAM
10,228.54866196686868,216.43321160784313,HAM
11,224.75278975238095,214.83176170749365,HAM
12,203.69175905531594,198.89814862222224,HAM
13,270.69643522801704,269.67671236460933,HAM
14,307.0282773542095,304.0041228777778,HAM
15,320.8925724289855,311.5657071708372,HAM
16,273.6947640647119,256.53222014285717,HAM
17,213.65405241456583,203.91763046603384,HAM
18,275.22625005599957,272.9216337289377,HAM
19,308.82934757101447,306.5341299849275,HAM
20,321.9239342500445,316.9927536231884,HAM
21,306.0631222592133,295.7638949604171,HAM
22,216.03589666058923,207.76511006884118,HAM
23,268.25145449876544,267.2240046539342,HAM
24,306.6117557142857,302.9374498031746,HAM
