Minisector,SAI,STR,Fastest
0,321.6554026816506,318.3669022898245,SAI
1,328.53409090909093,328.32298952469404,SAI
2,324.5268542251026,324.63456438787875,STR
3,204.85844379099098,199.12405117555446,SAI
4,120.46691197978983,121.29095685790361,STR
5,264.8270592490508,267.1142180871739,STR
6,301.37226586190474,300.99427062222225,SAI
7,309.6542184679089,315.77471538881986,STR
8,274.68146246424556,291.37593367767164,STR
9,146.87947643128842,146.19877973861597,SAI
10,222.03742764329004,228.3833239979211,STR
11,219.15460191869633,217.57227602807038,SAI
12,202.58749884444444,200.9000393270321,SAI
13,270.43778783369333,269.2721171785724,SAI
14,304.9479972167328,304.41236498701295,SAI
15,313.2031197537958,316.56845664894996,STR
16,262.0933020952381,272.55632592592593,STR
17,210.52363105025137,203.71221721231984,SAI
18,274.3164289584762,271.6238328707219,SAI
19,306.36436958023387,305.39148507826087,SAI
20,315.33020189151136,319.67686137596644,STR
21,300.9460167616841,310.90572952315864,STR
22,213.18112038592065,209.70714551172568,SAI
23,266.5996701232358,261.08258914285716,SAI
24,303.819125344,300.4536050514056,SAI
25,,311.9214290285714,STR
