Minisector,BOT,GAS,Fastest
0,305.5235414933333,299.93812476190476,BOT
1,309.7713815578947,303.02412277894734,BOT
2,310.109649122807,297.23583386666667,BOT
3,226.341691136,216.6844099539097,BOT
4,229.50927383199198,222.11892112315311,BOT
5,121.1557552779002,118.17569491927527,BOT
6,231.46180436825398,226.71482001785932,BOT
7,270.2528352176595,268.9226184126984,BOT
8,218.98170552098765,215.69559979144591,BOT
9,122.93926200802584,126.86685072253968,GAS
10,243.86076080152378,244.85954975176136,GAS
11,255.1627735396206,245.61974721987576,BOT
12,135.86567530158732,131.2153954287649,BOT
13,226.29804617922537,223.09427592533336,BOT
14,270.90583296,268.36244053817455,BOT
15,228.58498723315455,214.18571653333333,BOT
16,171.84278108465926,169.08973728621612,BOT
17,247.05632299880392,244.84097247407408,BOT
18,122.51542347407407,123.04204705853392,GAS
19,143.3896830837886,148.03192661718376,GAS
20,209.03582438249865,208.41468107936507,BOT
21,263.8333325575758,259.5421604923796,BOT
22,280.94186493968255,275.5416664888889,BOT
23,289.5739526491018,283.8624998603175,BOT
24,298.69824532210527,293.2996440896536,BOT
