Minisector,HAM,SAI,Fastest
0,301.1869938533333,326.92249338546367,SAI
1,303.43859649122805,337.05416658823526,SAI
2,299.49379398130736,332.8845964467665,SAI
3,236.45200166400002,221.44940692161174,HAM
4,223.9959033809653,218.59790009642694,HAM
5,123.58149231504831,116.85626872417144,HAM
6,231.79453965048302,228.61067510660345,HAM
7,270.33710228752835,267.14464238268397,HAM
8,219.7332641213194,213.8534120929655,HAM
9,121.74790373678393,120.98029872917954,HAM
10,241.94776253047652,243.14378673074035,SAI
11,253.67898731594204,248.55538326772486,HAM
12,137.78767380027801,126.66379046491588,HAM
13,224.4291383235385,221.3206647776688,HAM
14,269.5859099835299,265.90340892121213,HAM
15,230.2324092830476,211.52470476190476,HAM
16,177.81084152816183,170.1454212504777,HAM
17,246.71177470144926,242.29062573333331,HAM
18,127.71167555749466,120.30091307721422,HAM
19,152.6386240621715,142.05096610949238,HAM
20,209.0783177140756,207.9821408,HAM
21,258.89166519641566,262.3908368156242,SAI
22,275.5471128304762,279.09206323809525,SAI
23,285.92122966349206,288.41892360314415,SAI
24,295.73145808,297.1291664,SAI
