Minisector,BOT,GAS,Fastest
0,239.52661577339651,235.92100173249108,BOT
1,287.83600025600003,283.5285947211303,BOT
2,301.7123803990128,297.61133329066666,BOT
3,308.3988095873016,305.12961314920636,BOT
4,268.43966218271606,269.6795195625737,GAS
5,171.27843346544108,167.92222716219513,BOT
6,265.50703519604207,263.6710287637355,BOT
7,285.3316667733333,281.79980800237826,BOT
8,212.89570859807733,216.78197597045695,GAS
9,226.1726106375888,222.35351880948394,BOT
10,180.21771363503896,185.58678157432337,GAS
11,232.17059532456435,229.4381002419751,BOT
12,209.41034990726155,202.38600249296877,BOT
13,211.3936820449227,211.6683360184668,GAS
14,228.26101786845624,224.82600217514454,BOT
15,177.53768008661484,181.8291600596703,GAS
16,250.2551804866429,251.02969413034074,GAS
17,290.8311236113463,288.2633335466667,BOT
18,304.97595332628686,301.1719202318841,BOT
19,288.781343704486,290.4702461733732,GAS
20,128.78960785317173,127.91703827775197,BOT
21,155.2490141539271,161.49410487793807,GAS
22,158.83325162638766,150.74335661318378,BOT
23,202.1050936152628,200.82634519769695,BOT
24,149.30240330989272,147.41416637535937,BOT
25,192.50000213333334,,BOT
