Minisector,LEC,KVY,Fastest
0,233.03800858478797,235.29514422248624,KVY
1,279.63896845206347,286.9093196432283,KVY
2,294.74292553713383,305.88307895608204,KVY
3,301.1020348837876,312.0838767768116,KVY
4,264.6879172388283,253.1004514506751,LEC
5,167.4081562528377,165.5098663655606,LEC
6,258.8790068383286,265.8729280902998,KVY
7,277.3514423794872,282.9225308839506,KVY
8,206.01832983731958,201.87418370683451,LEC
9,221.75839862763257,220.5123688302725,LEC
10,175.47305774143572,171.53749925079364,LEC
11,226.38839464696525,228.37437087591965,KVY
12,198.75359721104792,197.0410239680622,LEC
13,206.84861872941588,207.39326996825397,KVY
14,218.46422655127142,225.73266903915493,KVY
15,178.01858182007493,167.5549689637166,LEC
16,244.89939141579694,255.81436866206897,KVY
17,282.5420001462857,303.6618533432712,KVY
18,297.64802382240373,323.1865943188406,KVY
19,294.98416661333334,297.3931699111111,KVY
20,128.77986317819267,123.10360329826189,LEC
21,156.33055344459925,148.40440997208114,LEC
22,148.51735689907542,154.64397363646614,KVY
23,200.90336697904763,195.66654008498432,LEC
24,147.9740364703923,140.95457940513327,LEC
