Minisector,VER,ALB,Fastest
0,235.51600593748864,231.40320209212675,VER
1,284.93366626133337,282.40658456903697,VER
2,299.4076666819048,296.9020238751813,VER
3,303.1604167111111,302.0752893925926,VER
4,271.0021038576538,261.05177059787496,VER
5,169.59392200221484,166.11199036201637,VER
6,264.12082825393014,261.870999844112,VER
7,283.029999872,278.4707542299404,VER
8,212.78995105065945,211.97829069232512,VER
9,222.3004831580402,219.08062579015478,VER
10,183.07887509435565,185.42450592385543,ALB
11,228.24548887445675,222.93715123215702,VER
12,208.8970740345679,206.0888065015873,VER
13,217.47376443648227,213.70557782026626,VER
14,223.20410844292772,221.86544816105112,VER
15,177.9362452476111,181.24978028249788,ALB
16,247.6613030592819,245.15908951309513,VER
17,287.40788064914284,286.6693678124542,VER
18,302.177833216,297.24412767041036,VER
19,294.2222240888889,283.4285268512821,VER
20,131.68841460952382,132.10435785322892,ALB
21,162.85817933037626,167.4615859607417,ALB
22,148.47892751580514,141.03289873823124,VER
23,204.56556267537414,209.6920491215238,ALB
24,145.9797071982381,144.36256522278495,VER
25,180.49166293333334,179.79444195555553,VER
