X,Y,Minisector,Fastest
799.8246644442743,-526.3965666251122,0,NOR
764.0147339469986,-582.1216627217834,0,NOR
750.0,-604.0,0,NOR
662.5133041619728,-741.326814230629,0,NOR
657.0,-750.0,0,NOR
563.0,-898.0,0,NOR
559.9889822472661,-902.7446366832221,0,NOR
468.0,-1048.0,0,NOR
439.52470171187224,-1093.244772158918,0,NOR
373.0,-1199.0,0,NOR
335.5619256127512,-1257.9844890794577,0,NOR
277.0,-1350.0,0,NOR
230.73361202905076,-1423.1699566585642,0,NOR
181.0,-1502.0,0,NOR
126.00788402980658,-1588.980727300753,0,NOR
85.0,-1654.0,0,NOR
21.363664899361535,-1755.4905382299814,0,NOR
-11.0,-1807.0,0,NOR
-84.0823520961613,-1922.4614288582645,0,NOR
-108.0,-1960.0,0,NOR
-190.84164705108049,-2089.3063895834935,1,NOR
-206.0,-2113.0,1,NOR
-304.0,-2267.0,1,NOR
-315.5835096691847,-2285.2925585565195,1,NOR
-402.0,-2422.0,1,NOR
-422.4588262979625,-2454.2467799228234,1,NOR
-500.0,-2576.0,1,NOR
-529.6982641528468,-2622.527122047045,1,NOR
-599.0,-2731.0,1,NOR
-619.8416926704238,-2763.6344712435225,1,NOR
-696.0,-2883.0,1,NOR
-725.900751585426,-2929.9483392303086,1,NOR
-795.0,-3038.0,1,NOR
-834.5450996642937,-3098.923853204356,1,NOR
-895.0,-3192.0,1,NOR
-961.2117258711573,-3296.244274668491,1,NOR
-994.0,-3348.0,1,NOR
-1069.0626871919312,-3465.618791748356,1,NOR
-1093.0,-3503.0,1,NOR
-1177.996594520665,-3635.57836811966,2,NOR
-1193.0,-3659.0,2,NOR
-1287.060716989782,-3805.7893294108108,2,NOR
-1293.0,-3815.0,2,NOR
-1394.0,-3971.0,2,NOR
-1397.201828849979,-3975.9863176977656,2,NOR
-1494.0,-4128.0,2,NOR
-1506.209319936912,-4147.127520099255,2,NOR
-1585.0,-4270.0,2,NOR
-1615.2848622755278,-4317.116270995275,2,NOR
-1686.0,-4427.0,2,NOR
-1726.0157218014424,-4489.132195287105,2,NOR
-1787.0,-4584.0,2,NOR
-1872.8157287015813,-4718.309553659785,2,NOR
-1888.0,-4742.0,2,NOR
-1983.1178560421001,-4889.81171287668,2,NOR
-1989.0,-4899.0,2,NOR
-2087.0,-5053.0,2,NOR
-2090.1270415079944,-5057.89664576372,2,NOR
-2186.0,-5207.0,3,NOR
-2198.1628029825015,-5225.806213715171,3,NOR
-2285.0,-5360.0,3,NOR
-2306.15120222377,-5392.965102664509,3,NOR
-2384.0,-5515.0,3,NOR
-2414.1096496352548,-5562.10606453976,3,NOR
-2483.0,-5670.0,3,NOR
-2522.033202647462,-5731.64937441462,3,NOR
-2581.0,-5825.0,3,NOR
-2623.251900356951,-5891.406296154749,3,NOR
-2670.0,-5965.0,3,NOR
-2730.514902135128,-6061.246501285096,3,NOR
-2776.0,-6134.0,3,NOR
-2839.8652172144234,-6236.694767017573,3,NOR
-2871.0,-6287.0,3,NOR
-2940.6911705613747,-6400.25924090373,3,NOR
-2963.0,-6437.0,3,NOR
-3037.742760476515,-6561.964322192026,3,NOR
-3051.0,-6584.0,3,NOR
-3128.8062043858795,-6710.735975208308,3,NOR
-3134.0,-6719.0,3,NOR
-3214.0,-6842.0,4,GAS
-3216.106494280823,-6845.0786868775485,4,GAS
-3289.0,-6945.0,4,GAS
-3297.8099795238672,-6956.170071531977,4,GAS
-3364.0,-7034.0,4,GAS
