Minisector,VER,VET,Fastest
0,290.31069288018887,285.98287966621314,VER
1,299.86979173333333,294.2249736412247,VER
2,302.77361114074074,297.7221439701531,VER
3,290.418319648128,296.2529166933333,VET
4,169.18884743529412,171.69357136120465,VET
5,213.75527796187913,212.75648098765433,VER
6,236.77428108571428,235.85194282088003,VER
7,264.3414927439844,263.87244861678005,VER
8,251.0856788858497,256.4269397995859,VET
9,167.38502137551873,161.94332348855798,VER
10,226.9818852251062,229.61596811080602,VET
11,138.44677172081532,135.15177078651323,VER
12,228.60716733866667,226.95019373288312,VER
13,198.09186935592354,189.06385123890172,VER
14,215.8737665185185,210.0291141703034,VER
15,235.61294023857388,236.42916693333333,VET
16,259.358323543688,255.73663239719795,VER
17,279.6847222349206,280.39482469522125,VET
18,130.17932136581254,130.98565618335738,VET
19,164.0348945507796,159.26155274059082,VER
20,150.6002849367125,142.9935128211114,VER
21,165.36862191168746,161.88537898748044,VER
22,118.49740470153156,114.21911933141554,VER
23,228.8026197942857,225.2465903189269,VER
24,269.31178340460474,265.70552394887136,VER
25,,278.63571382857145,VET
