Minisector,VET,GAS,Fastest
0,285.98287966621314,291.30426041890314,GAS
1,294.2249736412247,300.29807024378266,GAS
2,297.7221439701531,304.90711799999997,GAS
3,296.2529166933333,292.1818908452563,VET
4,171.69357136120465,167.86486342495405,VET
5,212.75648098765433,209.1078095664135,VET
6,235.85194282088003,229.80843575127653,VET
7,263.87244861678005,264.05476588106114,GAS
8,256.4269397995859,249.8779525333333,VET
9,161.94332348855798,160.19537034327107,VET
10,229.61596811080602,225.81554649432013,VET
11,135.15177078651323,134.67578144379735,VET
12,226.95019373288312,223.97649924266665,VET
13,188.31985603764682,184.9805766998591,VET
14,211.722541638392,222.50384533333335,GAS
15,236.42916693333333,234.18312069776405,VET
16,255.73663239719795,257.19200531534995,GAS
17,280.6141187573536,277.5954931736961,VET
18,127.4853301875246,123.90304945973858,VET
19,159.26155274059082,161.97605453322083,GAS
20,142.9935128211114,149.50360620703114,GAS
21,161.34793631214313,155.85036706491533,VET
22,113.67439618105114,120.02679340525613,GAS
23,225.2465903189269,232.39768978895236,GAS
24,266.29325985249403,272.1629884020841,GAS
