Minisector,LEC,ALB,Fastest
0,256.02913294216023,258.0808854316916,ALB
1,235.01472517732768,226.1593500072111,LEC
2,145.3073376231884,149.94956304060668,ALB
3,237.24539947805502,241.21802816894467,ALB
4,268.70950024533334,272.2127061751636,ALB
5,183.59259511056024,181.26058646219403,LEC
6,101.25820431435366,99.29735293202961,LEC
7,133.89440570444427,133.0560805719951,LEC
8,246.49358519082892,247.4219727475407,ALB
9,172.5611331082045,169.52209246075176,LEC
10,184.79756818622118,180.93238910250548,LEC
11,254.62490142023395,254.39839707545786,LEC
12,237.60344694819034,245.78000239629404,ALB
13,258.2164088863064,262.11712784466795,ALB
14,280.5070655536232,283.2020830222222,ALB
15,279.3800998406391,276.4397094095238,LEC
16,136.8947975259182,139.83819285432108,ALB
17,229.68853669646577,229.78270813933352,ALB
18,275.77821277876507,274.9498279595253,LEC
19,285.15250493968256,285.33695647536234,ALB
20,286.546221720911,290.8411015055667,ALB
21,291.89402179710146,296.128010444585,ALB
22,141.92322183831067,145.2759374684025,ALB
23,79.3728526300439,82.12473328462315,ALB
24,158.09212573486363,162.77052255465682,ALB
