Minisector,SAI,ALB,Fastest
0,260.28247398717394,258.0808854316916,SAI
1,221.74236844226505,226.1593500072111,ALB
2,145.59160489876544,149.94956304060668,ALB
3,242.85488040257775,241.21802816894467,SAI
4,269.954736952381,272.2127061751636,ALB
5,176.88178881058042,181.26058646219403,ALB
6,97.80535293312215,99.29735293202961,ALB
7,137.40513170655933,133.0560805719951,SAI
8,252.19520579164833,246.6689716993692,SAI
9,164.02503434874777,171.95904014923298,ALB
10,186.43680427456746,180.93238910250548,SAI
11,259.32415575459373,254.39839707545786,SAI
12,249.80907746813185,245.78000239629404,SAI
13,266.8329306875039,262.11712784466795,SAI
14,286.80199257971015,283.2020830222222,SAI
15,271.67275505397515,276.4397094095238,ALB
16,139.90053427388452,139.83819285432108,SAI
17,235.88183149151996,229.78270813933352,SAI
18,278.6724635826087,274.9498279595253,SAI
19,288.90346787246375,285.33695647536234,SAI
20,291.9429347246377,290.8411015055667,SAI
21,293.23667933737374,296.128010444585,ALB
22,147.28222009321175,146.73492525684605,SAI
23,84.28635749099068,82.0758168144426,SAI
24,167.8290561403509,162.77052255465682,SAI
25,244.22083519999998,,SAI
