Minisector,SAI,STR,Fastest
0,260.28247398717394,261.3150240530845,STR
1,221.74236844226505,227.85519565889766,STR
2,145.59160489876544,131.25706154530943,SAI
3,242.85488040257775,235.21929575683347,SAI
4,269.954736952381,271.37520393513495,STR
5,176.88178881058042,179.13673334911533,STR
6,97.80535293312215,101.24585264458368,STR
7,137.40513170655933,133.68049862027394,SAI
8,252.19520579164833,252.13996676458257,SAI
9,164.02503434874777,163.25997324687106,SAI
10,186.43680427456746,177.84723646461632,SAI
11,259.32415575459373,258.4479167589744,SAI
12,249.80907746813185,257.73961517159637,STR
13,266.8329306875039,265.59947600457144,SAI
14,286.80199257971015,284.3244464480773,SAI
15,271.67275505397515,269.6923812312822,SAI
16,139.90053427388452,138.21125710787075,SAI
17,235.88183149151996,230.45258555270937,SAI
18,278.6724635826087,277.1095843918788,SAI
19,288.90346787246375,288.54501485714286,SAI
20,291.9429347246377,291.7965579130435,SAI
21,293.23667933737374,297.78829846856877,STR
22,147.28222009321175,144.58355474308476,SAI
23,84.28635749099068,81.57124832747253,SAI
24,167.8290561403509,164.18431595914498,SAI
25,244.22083519999998,241.48958399999998,SAI
