Minisector,VET,STR,Fastest
0,258.3620213424225,261.3150240530845,STR
1,224.00591566451615,227.85519565889766,STR
2,143.12053329619067,131.25706154530943,VET
3,240.79323892789117,235.21929575683347,VET
4,270.05471066174704,271.37520393513495,STR
5,181.84850924684685,179.13673334911533,VET
6,98.38480412894181,101.24585264458368,STR
7,133.45112823479107,133.68049862027394,STR
8,247.86990255824654,252.13996676458257,STR
9,169.21052359859297,163.25997324687106,VET
10,181.76800072099422,177.84723646461632,VET
11,252.09341684627762,258.4479167589744,STR
12,235.55208342857142,257.73961517159637,STR
13,256.3821808924276,265.59947600457144,STR
14,278.92789815652174,284.3244464480773,STR
15,275.49950237866665,266.0981231223867,VET
16,138.9142322962225,138.3728889745374,VET
17,233.4971306694828,232.11160646530612,VET
18,277.15344139130434,277.5216850422172,STR
19,286.3624999884058,288.6121894161491,STR
20,289.20961798222226,291.7965579130435,STR
21,294.04242424242426,297.7687545745429,STR
22,150.2025963996681,139.91515196530696,VET
23,81.45244819756738,81.71008576615566,STR
24,165.34307497895534,169.8983164479463,STR
25,240.7874976,,VET
