Minisector,KVY,LEC,Fastest
0,305.8333333333333,319.64185604848484,LEC
1,307.5000823236733,320.0890578961511,LEC
2,242.35333333333332,268.09722222222223,LEC
3,151.67927244010116,149.5691997416209,KVY
4,165.33085308017468,163.43579046153846,KVY
5,216.51149425287355,213.4516469231746,KVY
6,229.23521725035246,229.7974521773553,LEC
7,210.17036124794745,209.25662696634922,KVY
8,258.77027172741555,259.4133466393739,LEC
9,252.52166666666668,253.55462452161174,LEC
10,265.9270833333333,267.64185376982414,LEC
11,268.4935188966985,273.5621376115942,LEC
12,267.04513888888886,271.85805799853955,LEC
13,263.8468396238372,265.9907590263255,LEC
14,176.05672268907563,177.71557572932178,LEC
15,233.64981529852219,234.46335678424472,LEC
16,202.29377880184333,207.16568621751577,LEC
17,170.66184747876116,163.9038534255639,KVY
18,258.0823550830753,253.24998291916845,KVY
19,287.12608700289854,283.5508928207792,KVY
20,239.28047619047618,244.5385193270728,LEC
21,182.4366405221176,180.39561685887446,KVY
22,256.29513888888886,253.59158404932808,KVY
23,285.6333758409703,283.16066014199134,KVY
24,297.74867423030304,297.74640155151513,KVY
