X,Y,Minisector,Fastest
530.8085118831809,2075.0902391729974,0,GAS
540.0818969681696,2076.2735307981648,0,GAS
616.0,2086.0,0,GAS
697.9679649699519,2096.5613223766813,0,GAS
759.0,2104.0,0,GAS
849.3070831985087,2113.7324497032714,0,GAS
898.0,2119.0,0,GAS
985.353267162565,2129.0997603851,0,GAS
1053.0,2137.0,0,GAS
1153.2867761434359,2148.2918251867977,0,GAS
1205.0,2154.0,0,GAS
1319.5612342773857,2166.5682039255876,0,GAS
1359.0,2171.0,0,GAS
1488.9346863609032,2186.1052097684774,0,GAS
1514.0,2189.0,0,GAS
1665.0,2206.0,0,GAS
1681.761340588785,2207.870038768545,0,GAS
1825.0,2224.0,0,GAS
1860.0376351211316,2228.069134488353,0,GAS
2005.0,2245.0,0,GAS
2024.5486075914898,2247.200978056829,0,GAS
2169.0,2263.0,0,GAS
2202.3152302749504,2266.759563576253,0,GAS
2334.0,2282.0,0,GAS
2414.9878922404287,2291.2790750171184,0,GAS
2501.0,2301.0,0,GAS
2585.7703271459013,2310.4007201744926,0,GAS
2654.0,2318.0,1,GAS
2776.459082622206,2331.8964443105247,1,GAS
2839.0,2339.0,1,GAS
2967.186069460164,2353.4316881789905,1,GAS
3008.0,2358.0,1,GAS
3149.9709035657406,2373.9055551645847,1,GAS
3177.0,2377.0,1,GAS
3305.3805916819774,2392.079185227785,1,GAS
3347.0,2397.0,1,GAS
3488.7823794278943,2413.8490858736386,1,GAS
3514.0,2417.0,1,GAS
3659.7150631734557,2436.6636059801817,1,GAS
3669.0,2438.0,1,GAS
3803.0,2459.0,1,GAS
3806.3332288472116,2459.5896428470396,1,GAS
3917.0,2482.0,1,GAS
3950.541773569629,2489.899469508869,1,GAS
4027.0,2511.0,1,GAS
4066.3048537621526,2525.0084050094847,1,GAS
4123.0,2550.0,1,GAS
4164.632498406681,2572.3931916612732,1,GAS
4206.0,2600.0,1,GAS
4259.399737622169,2648.4540714538493,1,GAS
4275.0,2666.0,1,GAS
4322.00920583828,2732.5407576329444,1,GAS
4329.0,2745.0,1,GAS
4363.248025947872,2826.347598573402,1,GAS
4365.0,2832.0,1,GAS
4384.0,2922.0,1,GAS
4384.351376229341,2924.480692902597,1,GAS
4392.0,3014.0,2,GAS
4392.273824039226,3025.0738576183417,2,GAS
4391.0,3101.0,2,GAS
4389.679272098134,3129.947632088832,2,GAS
4385.0,3200.0,2,GAS
4381.57540564342,3238.3580078769924,2,GAS
4375.0,3301.0,2,GAS
4371.343963602766,3333.576621876216,2,GAS
4362.0,3413.0,2,GAS
4354.108852928298,3478.0437352649237,2,GAS
4348.0,3527.0,2,GAS
4338.492317552916,3600.2200635773697,2,GAS
4333.0,3639.0,2,GAS
4318.781706568956,3728.580125757448,2,GAS
4313.0,3761.0,2,GAS
4291.53475809441,3869.1855369512714,2,GAS
4288.0,3886.0,2,GAS
4271.824461946565,3955.058107487461,2,GAS
4270.0,3962.0,2,GAS
4240.257016521319,4070.1812100909196,2,GAS
4234.0,4092.0,2,GAS
4196.847816124814,4214.968000101882,2,GAS
4194.0,4224.0,2,GAS
4150.0,4359.0,2,GAS
4148.976935674268,4362.086920439836,2,GAS
4104.0,4495.0,2,GAS
4098.507545675862,4510.508514965669,2,GAS
4053.0,4632.0,2,GAS
4041.885641824821,4659.568608376009,2,GAS
3995.0,4766.0,2,GAS
3976.9466287856962,4801.325436990387,2,GAS
3928.0,4882.0,2,GAS
3909.80328905383,4907.963295167152,3,GAS
3829.0,5008.0,3,GAS
3796.60581841887,5040.6238371234185,3,GAS
3717.0,5106.0,3,GAS
3668.647982530938,5138.794687018273,3,GAS
3588.0,5185.0,3,GAS
3520.151237187803,5217.391299702494,3,GAS
3445.0,5249.0,3,GAS
3361.6237228378477,5281.185782201555,3,GAS
