Minisector,SAI,BOT,Fastest
0,252.69485496712636,255.55645892491577,BOT
1,211.68066539647236,217.8336614529765,BOT
2,202.69096961828848,206.16612965239653,BOT
3,254.09625366627517,260.8951776932394,BOT
4,271.2286326631218,275.31054520917723,BOT
5,285.22914231248774,286.00471012173915,BOT
6,166.11499661744426,163.8984327136345,SAI
7,183.64501018574714,187.31939461797126,BOT
8,262.73239175944474,267.63371129947495,BOT
9,285.1239427931164,293.0459551625373,BOT
10,295.0430817208215,304.19972790397685,BOT
11,298.2825397333333,303.430677920467,BOT
12,120.11923981043573,115.96478136524595,SAI
13,183.89189930982565,188.1515493447407,BOT
14,266.1469484637723,270.452576856222,BOT
15,288.7437474306851,295.4964895126009,BOT
16,297.27366703731053,296.8845850059284,SAI
17,187.39520545432023,192.2225827615218,BOT
18,220.70269026483544,227.1771853000885,BOT
19,266.5314495984271,269.91597994530895,BOT
20,159.58813070775454,152.997526957232,SAI
21,151.06777138372422,148.96961397954567,SAI
22,218.88142173864776,224.8226915684149,BOT
23,239.57728549086067,222.46437823365397,SAI
24,156.17952892663885,161.30171540449035,BOT
25,225.3697412465257,,SAI
