Minisector,BOT,HAM,Fastest
0,297.1192756592108,284.43190435809527,BOT
1,308.4645664717087,286.8759259259259,BOT
2,159.4166737606396,177.46182896232983,HAM
3,219.6061741015873,221.28583737436367,HAM
4,279.9624990877193,269.0158588538273,BOT
5,306.8795088937202,287.07675413333334,BOT
6,317.3237045064426,285.83997499348374,BOT
7,167.25007779990656,195.98935154606878,HAM
8,117.37083205756613,117.7548734219648,HAM
9,250.7718237968254,242.02327605917802,BOT
10,290.34999955087716,277.19775528469825,BOT
11,304.2313726028011,282.2140350877193,BOT
12,149.41817080747978,163.43981460814217,HAM
13,191.2073172994709,186.1486397671868,BOT
14,255.8058022311447,249.80390560181232,BOT
15,207.50224455384614,218.010166784,HAM
16,217.25497526129547,215.35492162652486,BOT
17,213.8178336853333,225.30928602274375,HAM
18,240.51387551995555,236.94069245752843,BOT
19,272.8502187789474,270.83095438036025,BOT
20,288.98026301754385,285.2462962370371,BOT
21,267.82660363307315,271.64206928647,HAM
22,226.61232706666667,235.02010903188403,HAM
23,200.53254996073963,200.71955122051284,HAM
24,259.27442223267894,255.7600534439534,BOT
25,276.4124992,275.87083342222223,BOT
