Minisector,NOR,SAI,Fastest
0,290.6380358552381,300.2039468350877,SAI
1,297.64702360560227,311.336896512207,SAI
2,165.39411626666669,158.28917474818005,NOR
3,217.93469534943802,216.3421433910006,NOR
4,273.72312544,280.1072324223113,SAI
5,293.17999343068783,307.7268904156863,SAI
6,295.83032397037033,320.18918408161437,SAI
7,189.05301535632185,195.6519590081168,SAI
8,116.37055630222221,112.86231936765527,NOR
9,247.47510855064937,255.00595144126987,SAI
10,285.97278829072684,300.98429019678144,SAI
11,296.9657406814815,319.73848043921566,SAI
12,153.27422991123552,152.39114147329013,NOR
13,180.44166783999998,186.55688588265025,SAI
14,255.2108674330381,254.81051545396826,NOR
15,206.160141221978,210.26063270503408,SAI
16,216.28611146666665,219.96499929599997,SAI
17,218.7133708006604,218.6490843594759,NOR
18,243.0406931878788,242.4763586018767,NOR
19,275.6568346022166,275.98645797333336,SAI
20,292.5335649185185,288.518859677193,NOR
21,270.1602374552381,268.0244950095238,NOR
22,228.47851952268755,234.51516612505173,SAI
23,200.30163213544972,204.98124668681632,SAI
24,264.45360105568346,261.8559517790476,NOR
25,,280.05,SAI
