Minisector,HAM,LEC,Fastest
0,305.1188408115942,285.32531623334165,HAM
1,319.56746016507935,294.7095906690282,HAM
2,304.4002809039189,287.7612357729637,HAM
3,113.35186919139737,111.48534779538585,HAM
4,218.6215279243774,223.40069546666666,LEC
5,274.1647534064195,272.5068018438691,HAM
6,219.92187606666667,216.81758346500246,HAM
7,160.7866572244166,159.8791153521292,HAM
8,211.63651834129914,209.69582801838453,HAM
9,223.98624208193226,221.3486962481198,HAM
10,120.75238610948955,119.95678835165604,HAM
11,225.6605025656518,231.0662611720542,LEC
12,123.81291164832548,124.17500050431134,LEC
13,223.04747678058638,225.0931942950337,LEC
14,277.1483331413333,278.49322946666666,LEC
15,217.63198367139853,213.9565126770215,HAM
16,192.22276218476955,191.7869910952079,HAM
17,253.581412429992,242.61667840549305,HAM
18,213.52285061505376,201.1087180675797,HAM
19,175.99780282375735,179.8173486235711,LEC
20,264.0318779003315,261.8620348079128,HAM
21,281.09239132753623,285.8474504117122,LEC
22,178.22276719032584,172.1486762296007,HAM
23,213.00739173947773,214.3001820500656,LEC
24,269.2376020403038,268.008012836716,HAM
25,282.55,,HAM
