Minisector,HAM,SAI,Fastest
0,291.57265029774436,289.7888158315789,HAM
1,241.48713986216453,215.89194099858668,HAM
2,150.08819368888888,140.9790507619146,HAM
3,230.1506712665102,216.40707773727536,HAM
4,167.03515683333333,150.48182748367378,HAM
5,177.275164350384,171.6534125395308,HAM
6,249.76249945396825,246.67023842539683,HAM
7,272.96166645333335,269.22003951746035,HAM
8,281.10241218245613,275.4412949370197,HAM
9,273.8921057122807,246.74226133333335,HAM
10,253.38730143492063,233.32155733333335,HAM
11,256.07122570582015,234.683660366044,HAM
12,218.72812573333331,206.2066075149409,HAM
13,150.84945775800796,137.44827086050546,HAM
14,164.05669258528138,145.68103731738643,HAM
15,188.7184093472662,179.58602941271354,HAM
16,258.5367057777778,250.97499900952383,HAM
17,249.341452887909,243.40332202822398,HAM
18,120.05400613461885,114.08758561294259,HAM
19,203.65145172912665,191.2621536119972,HAM
20,200.41719621305114,192.9944081468403,HAM
21,234.06627888997164,227.95900674120082,HAM
22,264.84323661027486,259.60053861801157,HAM
23,281.70739312280705,275.5608691582585,HAM
24,292.456385762145,284.406250074074,HAM
25,,286.7729168,SAI
