Minisector,GAS,STR,Fastest
0,283.73920494545456,287.07244636168303,STR
1,298.1104165333333,299.2388890122449,STR
2,303.6355159873016,303.2654849797896,GAS
3,307.01666672,296.7211010590476,GAS
4,251.70075110545142,251.79044962133332,STR
5,188.738884688262,184.95415385899443,GAS
6,255.06790967708022,255.1504223301587,STR
7,281.04020112384,276.5197025438963,GAS
8,202.96555615999998,199.35698883440858,GAS
9,211.80782029119413,202.35756900571855,GAS
10,139.23695772666392,140.9890658871359,STR
11,244.64566990057457,247.46895009996337,STR
12,274.61475343769223,271.8259469090909,GAS
13,219.0196739006084,227.21580689063535,STR
14,261.969047115528,261.9363617590062,GAS
15,225.71866156190475,217.7861978041119,GAS
16,180.64390297060518,179.3012639030303,GAS
17,256.2238193808965,255.85502931933377,GAS
18,145.85409137644467,144.34712256507936,GAS
19,210.59775635730202,210.44638897714594,GAS
20,271.8547020419048,274.84697037575756,STR
21,290.81439890942613,287.4739467388811,GAS
22,160.23545410123634,160.59925510226,STR
23,177.9650665581123,179.9831646045105,STR
24,256.5094208162519,260.89857328517286,STR
25,275.72500053333334,,GAS
