X,Y,Minisector,Fastest
-688.990329654648,-1560.9635620506601,0,GAS
-755.0,-1570.0,0,GAS
-784.4579402458179,-1573.274762177905,0,GAS
-925.0,-1584.0,0,GAS
-965.687197383037,-1586.1688483952014,0,GAS
-1078.0,-1590.0,0,GAS
-1141.6356076906864,-1591.3352891316495,0,GAS
-1266.0,-1594.0,0,GAS
-1347.534144336637,-1597.0955745996093,0,GAS
-1445.0,-1602.0,0,GAS
-1537.6945541079247,-1607.3283539522688,0,GAS
-1616.0,-1612.0,0,GAS
-1725.076668971763,-1618.3109867122516,0,GAS
-1789.0,-1622.0,0,GAS
-1914.7348339650846,-1629.3249953778964,0,GAS
-1963.0,-1632.0,0,GAS
-2104.5885912126223,-1639.2732349115204,0,GAS
-2137.0,-1641.0,0,GAS
-2294.3405359126723,-1650.0387324311662,0,GAS
-2311.0,-1651.0,0,GAS
-2471.0,-1660.0,0,GAS
-2485.325029199522,-1660.7875293039108,0,GAS
-2646.0,-1669.0,0,GAS
-2676.290314051412,-1670.2438779079614,1,GAS
-2822.0,-1675.0,1,GAS
-2868.8139466685225,-1676.3375391091151,1,GAS
-3000.0,-1680.0,1,GAS
-3062.8181859118263,-1681.9597881665968,1,GAS
-3177.0,-1686.0,1,GAS
-3256.2419944719873,-1689.2555181597484,1,GAS
-3355.0,-1693.0,1,GAS
-3450.091607335458,-1695.2160583635828,1,GAS
-3532.0,-1696.0,1,GAS
-3642.465405857969,-1695.306672517632,1,GAS
-3708.0,-1693.0,1,GAS
-3834.2449899268763,-1683.3161159732208,1,GAS
-3884.0,-1678.0,1,GAS
-4027.885008799064,-1658.5819525450568,1,GAS
-4062.0,-1653.0,1,GAS
-4222.362491978639,-1621.9564987062881,1,GAS
-4241.0,-1618.0,1,GAS
-4415.594173690363,-1578.561888457774,1,GAS
-4418.0,-1578.0,1,GAS
-4594.0,-1536.0,1,GAS
-4607.545929804617,-1532.7032909302145,2,GAS
-4769.0,-1493.0,2,GAS
-4798.526684531094,-1485.7622088093055,2,GAS
-4945.0,-1450.0,2,GAS
-4990.610042431681,-1438.8373752654088,2,GAS
-5120.0,-1407.0,2,GAS
-5182.06348513824,-1391.5829201310064,2,GAS
-5295.0,-1364.0,2,GAS
-5373.314832603403,-1346.0496326682094,2,GAS
-5471.0,-1325.0,2,GAS
-5565.355007443425,-1306.0299213140577,2,GAS
-5647.0,-1291.0,2,GAS
-5757.833795477768,-1273.0532517561114,2,GAS
-5824.0,-1264.0,2,GAS
-5952.305997119312,-1250.3094580060829,2,GAS
-6003.0,-1246.0,2,GAS
-6149.493233071113,-1236.513219957604,2,GAS
-6184.0,-1235.0,2,GAS
-6345.964786117578,-1231.2752055074766,2,GAS
-6364.0,-1231.0,2,GAS
-6543.356403742231,-1229.0051572172497,3,GAS
-6545.0,-1229.0,3,GAS
-6725.0,-1230.0,3,GAS
-6739.627239461299,-1230.170458572398,3,GAS
-6902.1911294551355,-1232.9799305498213,3,GAS
-6903.0,-1233.0,3,GAS
-7081.0,-1239.0,3,GAS
-7096.333573178589,-1239.653457023364,3,GAS
-7258.0,-1248.0,3,GAS
-7289.2656954327595,-1249.9964122748222,3,GAS
-7434.0,-1261.0,3,GAS
-7481.076998476468,-1265.230481511336,3,GAS
-7609.0,-1278.0,3,GAS
-7671.198094667108,-1284.5533071307411,3,GAS
-7767.0,-1295.0,3,GAS
-7860.218432928971,-1305.4957073012424,3,GAS
-7941.0,-1315.0,3,GAS
-8050.247675377333,-1328.6398618711048,3,GAS
-8115.0,-1337.0,3,GAS
-8239.265713550201,-1353.4102403225277,3,GAS
-8288.0,-1360.0,3,GAS
-8428.026814719053,-1379.3984583356312,3,GAS
-8461.0,-1384.0,3,GAS
-8615.853334652767,-1405.6064468958675,4,GAS
-8633.0,-1408.0,4,GAS
-8802.445739028239,-1431.7787491957815,4,GAS
-8804.0,-1432.0,4,GAS
-8975.0,-1457.0,4,GAS
-8988.975880142621,-1459.1377436737996,4,GAS
-9145.0,-1485.0,4,GAS
-9173.94264985025,-1490.5651564131526,4,GAS
-9311.0,-1521.0,4,GAS
-9354.508867996401,-1532.1929248646475,4,GAS
-9476.0,-1567.0,4,GAS
-9533.908739782637,-1585.0369232149314,4,GAS
-9639.0,-1619.0,4,GAS
-9705.360620657735,-1640.1165570801745,4,GAS
-9784.0,-1665.0,4,GAS
-9853.615759529595,-1687.31899569497,4,GAS
-9912.0,-1706.0,4,GAS
-9986.848152191866,-1729.5234210331294,4,GAS
-10027.0,-1742.0,4,GAS
-10088.144131972937,-1760.8446759717438,4,GAS
-10111.0,-1768.0,4,GAS
-10179.259062684512,-1790.6993628293972,4,GAS
-10195.0,-1797.0,4,GAS
-10264.086224012493,-1832.5591779987496,4,GAS
-10271.0,-1837.0,4,GAS
-10330.518714280024,-1887.4488235966676,5,RIC
-10331.0,-1888.0,5,RIC
-10377.0,-1961.0,5,RIC
