X,Y,Minisector,Fastest
-675.8785480136842,-1558.2709987369913,0,SAI
-767.0,-1571.0,0,SAI
-781.5128362804777,-1572.6501942664197,0,SAI
-938.0,-1585.0,0,SAI
-968.7991795680895,-1586.6108844806024,0,SAI
-1129.0,-1592.0,0,SAI
-1160.1931667829062,-1592.724028590064,0,SAI
-1305.0,-1596.0,0,SAI
-1352.0483592076885,-1597.7403300591375,0,SAI
-1479.0,-1604.0,0,SAI
-1541.9629275200086,-1607.527073087783,0,SAI
-1652.0,-1614.0,0,SAI
-1731.2931992499189,-1618.5627712254652,0,SAI
-1827.0,-1624.0,0,SAI
-1922.1880988683074,-1629.4061080409328,0,SAI
-2003.0,-1634.0,0,SAI
-2114.026708358484,-1640.3223582917853,0,SAI
-2179.0,-1644.0,0,SAI
-2307.5879039118186,-1651.2056018889396,0,SAI
-2357.0,-1654.0,0,SAI
-2501.789373375809,-1662.238998862322,0,SAI
-2535.0,-1664.0,0,SAI
-2696.8198820880825,-1671.376289981964,1,SAI
-2714.0,-1672.0,1,SAI
-2894.1767780356854,-1676.979111248173,1,SAI
-2895.0,-1677.0,1,SAI
-3076.0,-1682.0,1,SAI
-3091.6767689234484,-1682.5348150810369,1,SAI
-3258.0,-1689.0,1,SAI
-3290.2930531298725,-1690.221121207987,1,SAI
-3440.0,-1695.0,1,SAI
-3456.4968368081963,-1695.349844275906,1,SAI
-3621.0,-1696.0,1,SAI
-3653.847104337764,-1695.2186456385703,1,SAI
-3802.0,-1687.0,1,SAI
-3851.8551756472734,-1682.1492134306982,1,SAI
-3984.0,-1665.0,1,SAI
-4047.647231452652,-1655.1948863091316,1,SAI
-4160.0,-1635.0,1,SAI
-4247.0071336327255,-1616.7697479235214,1,SAI
-4336.0,-1597.0,1,SAI
-4452.445341713005,-1570.6783710812208,1,SAI
-4519.0,-1555.0,1,SAI
-4649.7042949567285,-1522.4868652896064,2,SAI
-4700.0,-1510.0,2,SAI
-4848.143563301693,-1474.2323704054013,2,SAI
-4882.0,-1466.0,2,SAI
-5045.690022141801,-1425.3240647144187,2,SAI
-5063.0,-1421.0,2,SAI
-5244.173041216578,-1376.1990763801107,2,SAI
-5245.0,-1376.0,2,SAI
-5427.0,-1334.0,2,SAI
-5442.8084300188775,-1330.5674987607747,2,SAI
-5610.0,-1297.0,2,SAI
-5641.8783444636565,-1291.3823586757942,2,SAI
-5789.0,-1269.0,2,SAI
-5872.026969252135,-1258.5953686303658,2,SAI
-5975.0,-1248.0,2,SAI
