Minisector,HAM,PER,Fastest
0,306.0316470603174,304.89176052105404,HAM
1,244.96687550461772,235.96583472055386,HAM
2,193.56909680436925,193.92800596801067,PER
3,266.57718881347495,270.5066086645397,PER
4,216.45494155558166,223.59431886868686,PER
5,110.41729913786064,109.71065996580356,HAM
6,173.13683051916567,176.86781422873418,PER
7,257.96983481958847,259.22022345444236,PER
8,288.5947243804096,288.9706279368349,PER
9,303.24444462222226,304.95196692008284,PER
10,307.4059527241083,306.783116686339,HAM
11,239.24290453350758,218.93674152727272,HAM
12,143.9463807458478,150.94801029321067,PER
13,255.73573909590402,261.8392234324274,PER
14,290.39817693845754,294.638764831746,PER
15,298.6671664213333,305.20937506666667,PER
16,290.240624984127,297.7739584,PER
17,243.9597886646489,251.9634723911111,PER
18,170.69292420101627,176.3981100742844,PER
19,182.47203214134683,176.94757370929324,HAM
20,174.18832648043266,173.9785973942857,HAM
21,238.57170568386636,236.1258064516129,HAM
22,120.1460903709008,119.60790748010558,HAM
23,199.20306352757555,200.52546810785566,PER
24,281.4653691303709,289.2138333866667,PER
25,295.10833386666667,,HAM
