Minisector,VER,VET,Fastest
0,307.42842922851906,302.76145128425827,VER
1,250.39248807093594,240.2282818176661,VER
2,192.18364470579417,196.82873665608466,VET
3,266.5051079923782,270.6230989399171,VET
4,220.97345214539118,228.91693529462367,VET
5,112.8060572803348,109.30267821996132,VER
6,179.3738513710162,177.73839906838992,VER
7,257.8203699753086,257.79508944761903,VER
8,289.0975087723189,283.95721778109504,VER
9,306.57238595445136,297.4431666773333,VER
10,313.26889727370764,301.1766304,VER
11,229.85037977782625,244.77559538285715,VET
12,144.73846639020405,144.27472749726377,VER
13,259.1692017100529,255.8445791509424,VER
14,294.66049840625817,287.46810453899184,VER
15,307.23325227359305,296.130666752,VER
16,299.8594021478088,283.8190143534873,VER
17,246.19271377865354,250.93222468308704,VET
18,177.47173517298958,172.10723546860763,VER
19,178.9937493814616,183.58038054195134,VET
20,174.20710863442287,170.59956883428572,VER
21,237.5097816398961,246.51098145866612,VET
22,121.59889017665279,126.10660014260147,VET
23,195.0286703710707,178.5628652892945,VER
24,279.4304558284475,277.63828586666665,VER
25,,294.9583335111111,VET
