Minisector,BOT,PER,Fastest
0,327.9732138320347,322.7485512347826,BOT
1,340.5954646058957,332.7957520969697,BOT
2,344.20439683780097,336.68856100705545,BOT
3,206.48578203346202,188.2288291359019,BOT
4,115.14234495541889,116.72516321159296,PER
5,265.9486485235215,266.82938685421163,PER
6,301.1152168811594,305.0038144282152,PER
7,311.3081520231884,320.41543355589135,PER
8,279.0475345382716,269.0593243176094,BOT
9,139.91546375384615,138.74577418244232,BOT
10,219.67139000702593,215.86186833049658,BOT
11,208.5343473927171,210.91761988682745,PER
12,191.00683265824966,192.4159125542496,PER
13,266.92239716684304,268.25301576601044,PER
14,301.25424112332763,306.5288781284926,PER
15,311.82536217971017,326.25568198787875,PER
16,272.2109422544832,257.6639681429075,BOT
17,195.20198307724866,192.62095748872247,BOT
18,267.80642064146366,267.9380570771329,PER
19,306.28768055652176,307.82844504463725,PER
20,316.62826073043476,325.2063404057971,PER
21,308.87777964444444,310.87467195038084,PER
22,203.89858358755293,202.58819460740742,BOT
23,261.7476692575897,263.25231309829314,PER
24,305.501999104,304.6855898222222,BOT
25,319.3833322666667,,BOT
