Minisector,LEC,PER,Fastest
0,316.6199274931677,322.7485512347826,PER
1,324.28586132491654,332.7957520969697,PER
2,327.59473043953636,336.68856100705545,PER
3,202.0943681114236,188.2288291359019,LEC
4,116.84228403346755,116.72516321159296,LEC
5,262.9141406853861,265.8776974586886,PER
6,297.4846160932362,304.48386384926175,PER
7,314.25652718493967,320.41543355589135,PER
8,287.7089802463311,273.5231444836713,LEC
9,140.6321365865624,137.49577418244232,LEC
10,219.2880151358097,217.2739895426178,LEC
11,210.6598103489434,209.7885450329181,LEC
12,192.40156220446946,192.4159125542496,PER
13,264.62647991936643,268.25301576601044,PER
14,301.32839006873706,305.94317717755746,PER
15,318.70975440629076,325.98369581449276,PER
16,258.9331778068751,264.16038487477954,PER
17,198.3632415304536,191.4283987926126,LEC
18,267.8823243504754,267.9380570771329,PER
19,302.42246344347825,307.82844504463725,PER
20,317.9900999978109,325.2063404057971,PER
21,304.8368069333333,310.87467195038084,PER
22,199.95769989564192,202.58819460740742,PER
23,258.75401157530865,263.25231309829314,PER
24,299.8110618557082,304.6855898222222,PER
