Minisector,LEC,ALO,Fastest
0,274.74245917460314,268.82857122539684,LEC
1,300.52107783529414,292.3141217311016,LEC
2,313.56923017772976,304.85177049957235,LEC
3,320.7252602666667,312.11778711484595,LEC
4,324.8073529098039,316.96593129411764,LEC
5,326.34557293333336,321.8611717843864,LEC
6,225.53208668171828,208.10224370402932,LEC
7,107.23951883439015,107.79156720881788,ALO
8,176.72075165968255,189.0408931189741,ALO
9,260.6449847703096,261.8301245240631,ALO
10,291.8781941847464,290.40578696296296,LEC
11,190.39211725714287,160.5592153684987,LEC
12,95.52669039588751,100.50702444854434,ALO
13,111.61375296778115,120.39353551340974,ALO
14,224.28780443818096,222.6598056484567,LEC
15,186.37116402199567,193.85617780229884,ALO
16,230.39621178874458,228.17521930994928,LEC
17,182.88867964460832,184.8366374988506,ALO
18,237.77380790995673,240.38990248271372,ALO
19,279.6642573954985,279.26365914786965,LEC
20,263.1916704,242.77800506320347,LEC
21,147.38200914057683,144.0683239721513,LEC
22,97.28495207894251,96.70251328042944,LEC
23,124.4275052580288,126.79056134748511,ALO
24,224.14489533913752,227.26340572753622,ALO
25,258.1166634666667,,LEC
