Minisector,GAS,HAM,Fastest
0,254.77754554074076,261.9187505714286,HAM
1,128.83396971077792,140.71436333714286,HAM
2,200.95000175238096,201.5655453327967,HAM
3,248.17100056669173,247.22794139607845,GAS
4,261.3600076380952,259.6766666666667,GAS
5,179.78661636750877,189.8086005452444,HAM
6,143.12900402753087,155.73493534358974,HAM
7,184.50347616827125,192.12296260628182,HAM
8,104.67042133726463,106.21776267468671,HAM
9,78.45897922501088,79.00184700328671,HAM
10,94.05118901907097,99.39287040929949,HAM
11,178.19285733679655,182.2312093750567,HAM
12,247.334117258061,246.99229720560223,GAS
13,270.9733340444444,269.41450880768684,GAS
14,270.6684825777377,278.77333290666667,HAM
15,117.71829169731282,123.1903975759808,HAM
16,139.68701780610687,144.60277882469134,HAM
17,194.16665681591812,195.50227238787878,HAM
18,195.86655549660992,201.85078105340352,HAM
19,213.79649122807018,221.4754387649123,HAM
20,133.63451535626348,136.1859843758903,HAM
21,117.6654189843772,123.65797561904762,HAM
22,90.0789699453185,93.96898451349793,HAM
23,195.70233242476257,194.0928571936508,GAS
24,249.69019672380952,249.94593899155302,HAM
