X,Y,Minisector,Fastest
-7656.014721910514,-6706.204651666286,0,NOR
-7657.674648217163,-6677.563174203804,0,NOR
-7660.0,-6638.0,0,NOR
-7668.2815198992175,-6503.550144162438,0,NOR
-7670.0,-6478.0,0,NOR
-7679.647704595181,-6328.004484938145,0,NOR
-7680.0,-6317.0,0,NOR
-7678.0,-6155.0,0,NOR
-7677.840760630909,-6151.300350802928,0,NOR
-7668.0,-5992.0,0,NOR
-7666.728493059648,-5973.616134006327,0,NOR
-7656.0,-5831.0,0,NOR
-7653.00421116236,-5797.933804235681,0,NOR
-7639.0,-5669.0,0,NOR
-7632.699997782207,-5621.387665545551,0,NOR
-7618.0,-5524.0,0,NOR
-7606.030523582113,-5453.935927595572,0,NOR
-7592.0,-5380.0,1,NOR
-7576.244195494231,-5305.30078383611,1,NOR
-7564.0,-5251.0,1,NOR
-7550.95803118197,-5195.503885497165,1,NOR
-7537.0,-5139.0,1,NOR
-7522.094713717232,-5082.146114598,1,NOR
-7511.0,-5042.0,1,NOR
-7494.49680289139,-4985.5813989561575,1,NOR
-7486.0,-4958.0,1,NOR
-7467.192337734465,-4900.170217901391,1,NOR
-7461.0,-4882.0,1,NOR
-7440.2523559596375,-4825.189871003755,1,NOR
-7436.0,-4815.0,1,NOR
-7408.172870479804,-4758.777546485578,1,NOR
-7406.0,-4755.0,1,NOR
-7371.0,-4706.0,1,NOR
-7370.066543387261,-4705.042174641749,1,NOR
-7323.0,-4670.0,1,NOR
-7316.714802514005,-4666.512898407483,1,NOR
-7263.0,-4643.0,1,NOR
-7249.889189091766,-4638.520809895135,1,NOR
-7197.0,-4624.0,1,NOR
-7176.7290418642415,-4619.407124654795,1,NOR
-7127.0,-4610.0,1,NOR
-7098.821582263039,-4605.701405931292,1,NOR
-7052.0,-4600.0,1,NOR
-7012.949914045352,-4596.380001906494,1,NOR
-6972.0,-4593.0,1,NOR
-6935.574020011633,-4589.741081764469,1,NOR
-6905.0,-4587.0,1,NOR
-6845.303714547765,-4581.9108296158165,2,STR
-6811.0,-4579.0,2,STR
-6736.21058071418,-4572.49156081904,2,STR
-6710.0,-4570.0,2,STR
-6603.0,-4558.0,2,STR
-6601.015659817159,-4557.735598773233,2,STR
-6492.0,-4541.0,2,STR
-6479.595711821094,-4538.9217254559835,2,STR
-6376.0,-4520.0,2,STR
-6352.2275733608585,-4515.00311890321,2,STR
-6256.0,-4493.0,2,STR
-6219.690160685282,-4484.619836840411,2,STR
-6132.0,-4464.0,2,STR
-6083.343723093729,-4451.879315183551,2,STR
-6005.0,-4432.0,2,STR
-5942.861553070656,-4416.736614190782,2,STR
-5874.0,-4400.0,2,STR
-5798.726613152113,-4381.467777995796,2,STR
-5741.0,-4367.0,2,STR
-5651.729583262208,-4344.102291584907,2,STR
-5605.0,-4332.0,2,STR
-5500.922783755366,-4305.001029967103,3,NOR
-5466.0,-4296.0,3,NOR
-5347.7346315637515,-4266.274554833272,3,NOR
-5325.0,-4261.0,3,NOR
-5192.0,-4234.0,3,NOR
-5189.332576078023,-4233.534265337122,3,NOR
-5044.0,-4213.0,3,NOR
-5027.536919269877,-4211.299813785748,3,NOR
-4891.0,-4200.0,3,NOR
-4860.210423613711,-4197.196542469151,3,NOR
-4738.0,-4183.0,3,NOR
-4721.015429043012,-4180.342836779464,3,NOR
-4591.0,-4152.0,3,NOR
-4561.0092720117555,-4142.69870652741,3,NOR
-4444.0,-4097.0,3,NOR
-4400.51322779189,-4077.02388883522,3,NOR
-4297.0,-4025.0,3,NOR
-4240.539777191022,-3995.6892360104457,4,NOR
-4151.0,-3950.0,4,NOR
-4081.0666096562904,-3917.2899607120003,4,NOR
-4004.0,-3884.0,4,NOR
-3919.443119765769,-3850.349100641985,4,NOR
-3854.0,-3827.0,4,NOR
-3751.528058445399,-3795.7267873369337,4,NOR
-3699.0,-3782.0,4,NOR
-3584.6917127541574,-3757.685009623016,4,NOR
