Minisector,VER,GIO,Fastest
0,256.07129795555556,263.4879569837535,GIO
1,133.34325655851507,131.95245142959624,VER
2,199.37145525333332,195.92708106666666,VER
3,246.59772115513138,246.06405687961717,VER
4,258.16093786666664,261.3450532666667,GIO
5,186.01941822524086,180.27174066086954,VER
6,148.87088707772384,141.77528555069603,VER
7,184.88436166393154,180.35181141863356,VER
8,104.62414544708099,101.86109977811014,VER
9,78.80823169201705,77.86947747604732,VER
10,95.80596333327723,94.26507888253968,VER
11,178.3522205387133,178.16462817091823,VER
12,245.1013822008274,246.6794106352941,GIO
13,262.20868985904764,269.3561103644444,GIO
14,262.66139701490556,277.39250295551403,GIO
15,119.85051417426209,118.24093424313726,VER
16,141.8949575374603,136.2818606830108,VER
17,194.1988765018619,193.18428150303032,VER
18,200.95687306666667,194.55317323174603,VER
19,219.04407938245618,213.75485893023165,VER
20,133.61591366603122,132.78416679111112,VER
21,119.85919240942854,115.91091068363406,VER
22,94.44349421695948,92.69067101055761,VER
23,195.50634681904762,196.66547398095238,GIO
24,249.2865179607843,249.8911446,GIO
