Minisector,VER,PER,Fastest
0,256.07129795555556,261.46597202962965,PER
1,133.34325655851507,134.16935360000002,PER
2,199.37145525333332,195.45545875287166,VER
3,246.59772115513138,243.84188928158224,VER
4,258.16093786666664,261.4979365079365,PER
5,186.01941822524086,190.0013608372596,PER
6,148.87088707772384,148.64664869700175,VER
7,184.88436166393154,186.02651515151516,PER
8,104.62414544708099,105.30040207337025,PER
9,78.80823169201705,79.52001840756306,PER
10,95.80596333327723,96.28343097919326,PER
11,178.3522205387133,178.02735494492754,VER
12,245.1013822008274,243.65882352941176,VER
13,262.20868985904764,266.89887409771484,PER
14,262.66139701490556,280.4488888888889,PER
15,119.85051417426209,120.83138022769175,PER
16,141.8949575374603,137.6288386920897,VER
17,194.1988765018619,198.5515873015873,PER
18,200.95687306666667,193.55956978787557,VER
19,219.04407938245618,226.3842105263158,PER
20,133.61591366603122,134.16032758634162,PER
21,119.85919240942854,120.9763131903118,PER
22,94.44349421695948,89.40742205574678,VER
23,195.50634681904762,189.3257575757576,VER
24,249.2865179607843,244.3768688809032,VER
