Minisector,VER,SAI,Fastest
0,256.07129795555556,260.90882352941173,SAI
1,133.34325655851507,135.0827144802577,SAI
2,199.37145525333332,195.25463530199323,VER
3,246.59772115513138,243.91484593837535,VER
4,258.16093786666664,259.9450385134029,SAI
5,186.01941822524086,184.6173218024652,VER
6,148.87088707772384,152.57786600070546,SAI
7,184.88436166393154,185.42283182129142,SAI
8,104.62414544708099,104.7141204359765,SAI
9,78.80823169201705,77.88198153045323,VER
10,95.80596333327723,93.62398021485409,VER
11,178.3522205387133,179.75371397813785,SAI
12,245.1013822008274,245.2406191283469,SAI
13,262.20868985904764,267.5584126984127,SAI
14,262.66139701490556,279.06082017747923,SAI
15,119.85051417426209,115.93364428464295,VER
16,141.8949575374603,145.07806528107474,SAI
17,194.1988765018619,194.93076280762193,SAI
18,200.95687306666667,199.54773242630387,VER
19,219.04407938245618,219.68546576965917,SAI
20,133.61591366603122,133.034540431738,VER
21,119.85919240942854,113.21100922126263,VER
22,94.44349421695948,94.75571407420352,SAI
23,195.50634681904762,195.80000096507933,SAI
24,249.2865179607843,246.7794159922542,VER
