Minisector,HAM,GAS,Fastest
0,309.8707383216562,310.35097348822455,GAS
1,316.21469299649124,318.40931356862745,GAS
2,311.2701392,324.0630685073223,GAS
3,231.7503755125596,218.6972992872975,HAM
4,222.91430959706958,220.09827042387437,HAM
5,118.62423670695226,112.61422188929163,HAM
6,214.71865668793708,214.9063939722861,GAS
7,268.002650569697,270.18433347186146,GAS
8,233.63267165866665,239.30436908077775,GAS
9,118.4729541407897,112.29167292641353,HAM
10,234.40859908944188,233.3931294081949,HAM
11,244.67699357681158,248.58246546666666,GAS
12,139.7075654950058,133.62905084239677,HAM
13,210.20954257495592,213.7276171542703,GAS
14,268.0868926926077,272.1432362018649,GAS
15,229.36512722962962,227.97062918681317,HAM
16,157.04175788444445,152.09147625867658,HAM
17,238.38699925333333,241.6736104888889,GAS
18,125.74903215591162,126.82738478116617,GAS
19,148.1324012550392,142.8295632313686,HAM
20,190.4363859657143,182.04386586690063,HAM
21,261.1419849956693,257.3249918345988,HAM
22,278.2791663746032,275.7374431927438,HAM
23,285.26150764263036,281.41181063057644,HAM
24,290.79344053864634,289.4284771226589,HAM
25,293.0,,HAM
