X,Y,Minisector,Fastest
-1838.4605358520994,1404.7087254329995,0,ALO
-1860.0,1477.0,0,ALO
-1865.7853528333662,1496.4343246701628,0,ALO
-1911.0,1648.0,0,ALO
-1921.536666009432,1682.9506485009506,0,ALO
-1963.0,1819.0,0,ALO
-1978.6309365344673,1869.7680450733812,0,ALO
-2016.0,1991.0,0,ALO
-2036.1308851844797,2057.1710942621057,0,ALO
-2068.0,2162.0,0,ALO
-2093.271657342665,2243.5956305029085,0,ALO
-2121.0,2333.0,0,ALO
-2150.614450122178,2430.1779952001402,0,ALO
-2173.0,2504.0,0,ALO
-2207.2814939555738,2616.600818257175,0,ALO
-2225.0,2675.0,0,ALO
-2263.9063423651664,2804.051756636272,0,ALO
-2277.0,2847.0,0,ALO
-2321.6130055506337,2990.814986966786,0,ALO
-2330.0,3018.0,0,ALO
-2378.462019188884,3177.3395759013465,1,ALO
-2382.0,3189.0,1,ALO
-2434.0,3360.0,1,ALO
-2435.1821133873814,3363.886260940285,1,ALO
-2482.6901474476754,3520.118420472206,1,ALO
-2486.0,3531.0,1,ALO
-2538.0,3702.0,1,ALO
-2539.179459660405,3705.88672364859,1,ALO
-2590.0,3873.0,1,ALO
-2595.986232373445,3892.4182783444294,1,ALO
-2643.0,4044.0,1,ALO
-2653.722665527114,4079.134442648135,1,ALO
-2695.0,4216.0,1,ALO
-2710.335636522939,4266.598068092437,1,ALO
-2747.0,4387.0,1,ALO
-2767.182840442968,4453.261388589367,1,ALO
-2799.0,4558.0,1,ALO
-2823.1242414601934,4637.971812247512,1,ALO
-2850.0,4725.0,1,ALO
-2881.1586417028943,4820.189517049955,1,ALO
-2906.0,4893.0,1,ALO
-2945.5010198348737,5004.946187397264,2,ALO
-2966.0,5063.0,2,ALO
-3010.2825876937104,5190.64244426165,2,ALO
-3025.0,5233.0,2,ALO
-3074.7038354941596,5374.723036724745,2,ALO
-3079.0,5387.0,2,ALO
-3138.0,5557.0,2,ALO
-3139.0752828664613,5560.122744913758,2,ALO
-3196.0,5726.0,2,ALO
-3201.838929719576,5742.90133970481,2,ALO
-3247.0,5874.0,2,ALO
-3258.0516456803603,5907.114945799571,2,ALO
-3301.0,6044.0,2,ALO
-3314.3230250619304,6093.236305003298,2,ALO
-3341.0,6210.0,2,ALO
-3354.2128431162064,6278.329721360774,2,ALO
-3374.0,6390.0,2,ALO
-3389.144187703953,6475.059349426781,2,ALO
-3406.0,6567.0,2,ALO
-3431.5045109913176,6698.231101172646,3,ALO
-3440.0,6742.0,3,ALO
-3467.848494532324,6889.373032945889,3,ALO
-3473.0,6917.0,3,ALO
-3502.035627282921,7073.469567410086,3,ALO
-3504.0,7084.0,3,ALO
-3531.0,7226.0,3,ALO
-3531.639311781989,7229.258960821789,3,ALO
-3560.0,7373.0,3,ALO
-3563.015449537983,7389.1997774065,3,ALO
-3583.0,7510.0,3,ALO
-3586.5269822008527,7536.938237611582,3,ALO
-3595.0,7637.0,3,ALO
-3595.1281726295138,7670.902832982614,3,ALO
-3588.0,7746.0,3,ALO
-3579.147278332484,7785.630832940569,3,ALO
-3557.0,7847.0,3,ALO
