Minisector,HAM,PER,Fastest
0,305.1404513333333,297.9229166222222,HAM
1,289.7810588756849,273.36390631714517,HAM
2,181.50345331317496,173.60312965028606,HAM
3,205.21052862641505,204.79595248463238,HAM
4,228.63890562723893,221.26665567544447,HAM
5,268.7897953599224,265.11921623366396,HAM
6,238.0113113904762,225.579782820595,HAM
7,213.04583195235213,214.82197272552781,PER
8,169.0070472800993,171.6277787726633,PER
9,178.9063566596491,173.00350576441102,HAM
10,184.2151117259941,189.32293636311203,PER
11,209.7007844327246,209.28948852039235,HAM
12,241.50171096155046,243.10008873357907,PER
13,172.35000761442308,172.04357935870496,HAM
14,249.76155035202822,244.59151634285715,HAM
15,277.17972740491524,272.134027568254,HAM
16,264.26916740266665,267.9133335893333,PER
17,250.15043418773433,261.60258301457407,PER
18,244.13120938703906,246.21381419369493,PER
19,244.08898883809525,249.2233029530864,PER
20,258.6742525835326,260.14931179568464,PER
21,189.21512852932224,196.2283867472109,PER
22,224.73287535167955,224.33117608325404,HAM
23,279.08251414603177,273.2241312,HAM
24,297.8940396572221,289.8191036055376,HAM
25,303.25416640000003,294.83749973333335,HAM
