Minisector,PER,SAI,Fastest
0,297.9229166222222,303.7939278588573,SAI
1,273.36390631714517,285.1513888888889,SAI
2,173.60312965028606,174.4738020938632,SAI
3,204.79595248463238,194.68416676571428,PER
4,221.26665567544447,221.33656543668113,SAI
5,265.38386176313844,267.52616669866666,SAI
6,224.03244224794815,230.38376336919538,SAI
7,215.24745787785506,207.38828143333333,PER
8,166.72984512454957,164.27083306666665,PER
9,177.08008950687832,172.50729849627731,PER
10,188.5304245695144,178.35350894035088,PER
11,211.82073852039235,207.5175541739555,PER
12,242.27791677167434,240.32343443527336,PER
13,171.96718999802118,167.33368573798458,PER
14,245.68749842962964,247.078176125109,SAI
15,272.08866646552383,277.5681760286417,SAI
16,267.5616989948718,270.9513570681905,SAI
17,261.3399562904067,263.38582046487625,SAI
18,246.21381419369493,253.2754809846154,SAI
19,248.97544685714288,250.31582638392513,SAI
20,261.1768759392744,228.8590451839071,PER
21,193.71278608243665,164.33817782676044,PER
22,225.8269415780938,236.65376337414963,SAI
23,273.6608325973333,280.4779209460947,SAI
24,290.0659487130247,297.87037042962965,SAI
25,294.83749973333335,,PER
