Minisector,BOT,GAS,Fastest
0,310.2617119890284,293.61216931216927,BOT
1,239.06388806464645,235.8629892392157,BOT
2,131.43012905584038,132.65431335672514,GAS
3,239.39502618108074,240.46600787142856,GAS
4,186.1225261000414,194.43385424000002,GAS
5,245.4231025498819,243.45101991485828,BOT
6,227.1004896362007,231.4369920717087,GAS
7,256.66599497634405,252.31182576253968,BOT
8,293.43427445144323,281.9324870853184,BOT
9,205.3479159338346,210.63508679298246,GAS
10,205.6702754978918,206.6789327685043,GAS
11,274.8185163047619,266.6093113469388,BOT
12,211.31703261983918,212.38337154253333,GAS
13,251.5402247973153,248.44220462795698,BOT
14,294.134833069545,286.1431968957156,BOT
15,311.4759647751608,296.93466666666666,BOT
16,314.5069789740865,292.1500844794651,BOT
17,225.83733500656157,239.20584047142856,GAS
18,269.9005509939607,267.4291648111092,BOT
19,304.20316680533335,292.4788580740741,BOT
20,320.7797010692461,296.6612641096325,BOT
21,318.41173092698415,288.45817896296296,BOT
22,148.62140827733896,155.37330328273345,GAS
23,237.83638927493627,233.09516046687588,BOT
24,299.246723102188,284.85925945679014,BOT
25,313.6166666666667,294.3833322666667,BOT
