Minisector,BOT,RIC,Fastest
0,310.2617119890284,303.2053769208089,BOT
1,239.06388806464645,230.4373777882353,BOT
2,131.43012905584038,131.38634314799745,BOT
3,239.39502618108074,235.56065725001514,BOT
4,186.1225261000414,189.56541629333333,RIC
5,245.4231025498819,237.98116285860056,BOT
6,227.1004896362007,221.95674388377088,BOT
7,256.66599497634405,254.11570751440178,BOT
8,293.43427445144323,283.8197188544788,BOT
9,205.3479159338346,203.93980289122806,BOT
10,205.6702754978918,199.96023838064372,BOT
11,274.8185163047619,270.59464274285716,BOT
12,211.31703261983918,206.61207177797152,BOT
13,251.5402247973153,250.85085842250558,BOT
14,294.134833069545,293.05215183579327,BOT
15,311.4759647751608,306.4024038153846,BOT
16,314.5069789740865,303.36565746213057,BOT
17,225.83733500656157,227.80631304321307,RIC
18,269.9005509939607,271.44730520161016,RIC
19,304.20316680533335,299.66639185934065,BOT
20,320.7797010692461,303.24483327999997,BOT
21,318.41173092698415,297.0760802765432,BOT
22,148.62140827733896,150.17056122102207,RIC
23,237.83638927493627,235.94540267153428,BOT
24,299.246723102188,290.23355367997465,BOT
25,313.6166666666667,,BOT
