Minisector,OCO,RIC,Fastest
0,300.00987658271606,303.2053769208089,RIC
1,239.21403236017315,230.4373777882353,OCO
2,130.74660131781877,131.38634314799745,RIC
3,235.61884802288395,235.56065725001514,OCO
4,193.53536355555556,189.56541629333333,OCO
5,250.309479752694,237.98116285860056,OCO
6,234.54966301525633,221.95674388377088,OCO
7,259.3764072636518,254.11570751440178,OCO
8,283.4247598237883,283.8197188544788,RIC
9,209.39528994190346,203.93980289122806,OCO
10,205.56907508795135,199.96023838064372,OCO
11,265.6110517079365,270.8844826482759,RIC
12,217.67831280850547,204.70712629844448,OCO
13,249.4768464927106,250.85085842250558,RIC
14,288.54249367190755,293.45762769372686,RIC
15,299.49666666666667,306.5177884307692,RIC
16,295.07100723230036,303.22028376061576,RIC
17,246.41692676666668,227.80631304321307,OCO
18,269.55058773350834,272.1554371396479,RIC
19,294.94727573333336,300.15581495677657,RIC
20,300.4004998826667,302.96618584615385,RIC
21,292.5429328122649,296.8421666986667,RIC
22,153.41954437039954,150.78587094113064,OCO
23,234.53916253067604,238.85855373820095,RIC
24,284.3407071472698,290.8045557138198,RIC
