X,Y,Minisector,Fastest
890.8275090858381,-366.4555892976788,0,SAI
868.0,-402.0,0,SAI
813.7303001170452,-486.09396284130304,0,SAI
774.0,-548.0,0,SAI
711.896338278783,-646.2237334580225,0,SAI
681.0,-695.0,0,SAI
609.6651043583165,-806.4285432212822,0,SAI
587.0,-842.0,0,SAI
507.15789020676954,-968.6289659007143,0,SAI
493.0,-991.0,0,SAI
403.61371528039837,-1131.1695096387402,0,SAI
398.0,-1140.0,0,SAI
303.0,-1290.0,0,SAI
299.9577270402753,-1294.7726107883273,0,SAI
207.0,-1440.0,0,SAI
195.29392156196715,-1458.481322926516,0,SAI
112.0,-1591.0,0,SAI
92.01183545641,-1622.5664174663402,0,SAI
16.0,-1742.0,0,SAI
-12.781064545887073,-1787.474234341516,0,SAI
-80.0,-1894.0,0,SAI
-117.82790998732344,-1953.7373880494383,1,SAI
-177.0,-2047.0,1,SAI
-223.7477744520212,-2120.7263128780974,1,SAI
-274.0,-2200.0,1,SAI
-329.5680673236099,-2287.644342586594,1,SAI
-371.0,-2353.0,1,SAI
-435.27945678493813,-2454.4234813302646,1,SAI
-468.0,-2506.0,1,SAI
-541.9448488336885,-2622.302818779082,1,SAI
-566.0,-2660.0,1,SAI
-649.2123199276723,-2789.6259846764106,1,SAI
-665.0,-2814.0,1,SAI
-771.0,-2976.0,1,SAI
-783.2419440315593,-2994.589904710919,1,SAI
-872.0,-3129.0,1,SAI
-893.0211027364885,-3160.8889750573253,1,SAI
-973.0,-3282.0,1,SAI
-1003.4902074026526,-3327.657353634237,1,SAI
-1066.0,-3421.0,1,SAI
-1133.1172179363348,-3522.492475874206,1,SAI
-1168.0,-3575.0,2,SAI
-1245.3132745604964,-3689.803563164181,2,SAI
-1271.0,-3728.0,2,SAI
-1356.743292752027,-3856.5934255519674,2,SAI
-1373.0,-3881.0,2,SAI
-1468.9325331115251,-4024.4939344296617,2,SAI
-1476.0,-4035.0,2,SAI
-1580.0,-4189.0,2,SAI
-1582.351329894834,-4192.499941724565,2,SAI
-1676.4228390546753,-4333.204198319413,2,SAI
-1683.0,-4343.0,2,SAI
-1787.0,-4497.0,2,SAI
-1789.8377379891472,-4501.212271415,2,SAI
-1891.0,-4652.0,2,SAI
-1903.3282392938415,-4670.382634048649,2,SAI
-1995.0,-4807.0,2,SAI
-2017.2536993312985,-4840.1893119277265,2,SAI
-2099.0,-4962.0,2,SAI
-2149.6866548419093,-5037.102161608051,2,SAI
-2203.0,-5117.0,3,SAI
-2262.200594852906,-5208.500607644717,3,SAI
-2305.0,-5276.0,3,SAI
-2371.5817199970406,-5382.717062094326,3,SAI
-2404.0,-5436.0,3,SAI
-2476.377595103514,-5558.932942594988,3,SAI
-2499.0,-5598.0,3,SAI
-2578.0418795159667,-5735.644222192504,3,SAI
-2592.0,-5760.0,3,SAI
-2679.5829998380113,-5913.367606456161,3,SAI
-2685.0,-5923.0,3,SAI
-2775.0,-6086.0,3,SAI
-2777.850403563268,-6091.204492310379,3,SAI
-2865.0,-6250.0,3,SAI
-2876.1846334550605,-6270.0875912949405,3,SAI
-2957.0,-6413.0,3,SAI
-2976.3636707404885,-6446.811265509598,3,SAI
-3051.0,-6574.0,3,SAI
-3080.7662070849865,-6622.1323623714725,3,SAI
-3145.0,-6722.0,4,PER
-3168.977372347219,-6757.834291286794,4,PER
-3202.0,-6804.0,4,PER
-3240.909283612518,-6856.657746076075,4,PER
-3288.0,-6918.0,4,PER
-3336.232461531329,-6976.081330408032,4,PER
-3371.0,-7015.0,4,PER
-3424.809281644307,-7070.93845704902,4,PER
-3452.0,-7097.0,4,PER
-3512.9261807357493,-7149.579692633852,4,PER
-3533.0,-7165.0,4,PER
-3603.2703183803037,-7211.706136037248,4,PER
-3616.0,-7219.0,4,PER
-3691.834265669997,-7254.963999528194,4,PER
-3697.0,-7257.0,4,PER
-3779.0,-7282.0,4,PER
-3781.2505398672533,-7282.437723307324,4,PER
-3856.0,-7289.0,4,PER
-3874.456070874049,-7288.519656031997,4,PER
-3950.0,-7280.0,4,PER
-3978.476367990482,-7274.377782646119,4,PER
-4047.0,-7256.0,4,PER
-4085.0704826529563,-7243.259080674403,4,PER
-4146.0,-7220.0,4,PER
-4193.461623939252,-7200.313187984366,4,PER
-4246.0,-7178.0,4,PER
-4304.37447746019,-7153.936397689175,4,PER
-4348.0,-7137.0,4,PER
-4412.022429786718,-7114.829792295789,4,PER
-4446.0,-7105.0,4,PER
-4529.379573347929,-7086.21272135527,4,PER
-4556.0,-7082.0,4,PER
-4642.4393893583465,-7077.002862864528,5,PER
-4659.0,-7078.0,5,PER
-4767.957987034428,-7097.139202390725,5,PER
-4775.0,-7099.0,5,PER
-4894.0,-7141.0,5,PER
-4897.76270702818,-7142.637483300171,5,PER
-5011.0,-7200.0,5,PER
-5025.092968271876,-7208.026003633205,5,PER
-5124.0,-7269.0,5,PER
-5147.653629176946,-7284.483759439113,5,PER
-5234.0,-7343.0,5,PER
-5267.676771886514,-7366.044922083534,5,PER
-5345.0,-7419.0,5,PER
-5388.964656871373,-7448.927982809374,5,PER
-5457.0,-7494.0,5,PER
-5513.5014306382245,-7529.209587952723,5,PER
-5575.0,-7565.0,5,PER
-5646.466758507889,-7603.036591271498,5,PER
-5700.0,-7629.0,5,PER
-5786.215117690932,-7666.1073781994155,5,PER
-5830.0,-7682.0,5,PER
-5932.847852341444,-7710.895501630157,5,PER
-5966.0,-7718.0,5,PER
-6083.497394034934,-7735.207775352115,5,PER
-6105.0,-7737.0,5,PER
-6235.8818648069855,-7738.5178908929975,5,PER
-6245.0,-7738.0,5,PER
-6385.0,-7721.0,6,PER
-6388.233048404462,-7720.410390001012,6,PER
-6489.0,-7695.0,6,PER
-6503.1150091306845,-7690.852616345963,6,PER
-6623.0,-7652.0,6,PER
-6650.799876555498,-7641.073364208199,6,PER
-6751.0,-7594.0,6,PER
-6787.954717657665,-7573.687259482206,6,PER
-6872.0,-7521.0,6,PER
-6917.312581699048,-7488.348588718587,6,PER
-6985.0,-7433.0,6,PER
-7035.350771282831,-7385.524264088833,6,PER
-7086.0,-7331.0,6,PER
-7137.318787161111,-7266.774289333635,6,PER
-7172.0,-7216.0,6,PER
-7219.22838707848,-7132.114465942825,6,PER
-7235.0,-7099.0,6,PER
-7279.985512376768,-6981.9409667837535,6,PER
-7287.0,-6959.0,6,PER
-7318.334551235082,-6820.3858888211635,6,PER
-7320.0,-6810.0,6,PER
-7335.0,-6655.0,6,PER
-7335.145358438913,-6651.4589066674325,6,PER
-7334.0,-6499.0,6,PER
-7333.096297324706,-6481.195626921839,6,PER
-7321.0,-6342.0,7,PER
-7316.927376446352,-6309.987403710379,7,PER
-7297.0,-6186.0,7,PER
-7293.603476507765,-6167.630650313798,7,PER
-7265.0,-6031.0,7,PER
-7257.422076972127,-5998.7349773669375,7,PER
-7226.0,-5877.0,7,PER
-7212.906714353087,-5830.825626218148,7,PER
-7180.0,-5724.0,7,PER
-7159.6372057421995,-5663.654639179157,7,PER
-7126.0,-5572.0,7,PER
-7096.511363546659,-5498.7945672414,7,PER
-7063.0,-5422.0,7,PER
-7022.421207251014,-5336.323954606819,7,PER
-6991.0,-5274.0,7,PER
-6938.775598389248,-5176.197511585921,7,PER
-6912.0,-5128.0,7,PER
-6849.226778350331,-5018.6456101025005,7,PER
-6829.0,-4984.0,7,PER
-6756.821999735407,-4861.595669328866,7,PER
-6744.0,-4840.0,7,PER
-6663.113044158874,-4704.53242790005,7,PER
-6658.0,-4696.0,7,PER
-6571.0,-4551.0,8,PER
-6568.229797821702,-4546.371448037511,8,PER
-6484.0,-4405.0,8,PER
-6473.316982255151,-4386.963975763783,8,PER
-6397.0,-4258.0,8,PER
-6378.492325608394,-4227.018857015077,8,PER
-6308.0,-4111.0,8,PER
-6259.028547041585,-4032.8010577879386,8,PER
-6216.0,-3965.0,8,PER
-6198.906361238638,-3938.577231193067,8,PER
-6183.0,-3915.0,8,PER
-6122.552871494698,-3824.8448837940755,8,PER
-6087.0,-3772.0,8,PER
-6013.180956976918,-3663.3787784621168,8,PER
-5990.0,-3630.0,8,PER
-5910.774100393706,-3519.7469756837813,8,PER
-5896.0,-3500.0,8,PER
-5804.96236931922,-3384.94762333218,8,PER
-5799.0,-3378.0,8,PER
-5710.0,-3286.0,8,PER
-5707.598656712268,-3283.8164254589906,8,PER
-5621.0,-3215.0,9,PER
-5610.280518537001,-3207.7920186166566,9,PER
-5529.0,-3162.0,9,PER
-5509.523738835246,-3153.3316270536693,9,PER
-5443.0,-3130.0,9,PER
-5405.423940448856,-3120.578790451725,9,PER
-5345.0,-3111.0,9,PER
-5298.505910192839,-3108.7934857503337,9,PER
-5248.0,-3111.0,9,PER
-5176.246006422876,-3121.3919905097123,9,PER
-5153.0,-3127.0,9,PER
-5077.927325969414,-3153.8477577082494,9,PER
-5064.0,-3160.0,9,PER
-4984.455206811707,-3201.6263168539967,9,PER
-4979.0,-3205.0,9,PER
-4906.0,-3260.0,9,PER
-4904.165508238178,-3261.6884574015044,9,PER
-4842.0,-3329.0,9,PER
-4834.405744784436,-3338.074982996112,9,PER
-4778.0,-3411.0,9,PER
-4765.632548145863,-3429.224202272717,9,PER
-4723.0,-3501.0,9,PER
-4708.378309364047,-3529.3961409393896,9,PER
-4678.0,-3598.0,9,PER
-4663.225700105664,-3639.0506813681163,9,PER
-4644.0,-3704.0,9,PER
-4631.263835530044,-3757.3266667061803,9,PER
-4621.0,-3815.0,9,PER
-4614.0776748933295,-3881.913804126837,9,PER
-4612.0,-3932.0,9,PER
-4613.74673659848,-4012.578783667495,9,PER
-4617.0,-4053.0,9,PER
-4630.6494975201185,-4146.150444431883,9,PER
-4637.0,-4176.0,9,PER
-4667.452283265,-4282.301565678871,10,PER
-4674.0,-4301.0,10,PER
-4722.540761823263,-4416.849695445076,10,PER
-4726.0,-4424.0,10,PER
-4792.0,-4543.0,10,PER
-4794.349272849661,-4546.765919390133,10,PER
-4872.0,-4661.0,10,PER
-4882.286315527075,-4675.338547834505,10,PER
-4957.0,-4777.0,10,PER
-4990.174834558772,-4822.2170757953845,10,PER
-5042.0,-4893.0,10,PER
-5083.699127233867,-4949.66764366933,10,PER
-5129.0,-5011.0,10,PER
-5179.286593915222,-5078.889774625001,10,PER
-5217.0,-5130.0,10,PER
-5275.971346059315,-5210.6696649628475,10,PER
-5306.0,-5252.0,10,PER
-5373.705823017195,-5345.492629862574,10,PER
-5396.0,-5376.0,10,PER
-5473.834945959235,-5481.441885191378,10,PER
-5488.0,-5501.0,10,PER
-5571.629971864949,-5620.206309552338,10,PER
-5577.0,-5628.0,10,PER
-5655.0,-5745.0,10,PER
-5656.9766544719605,-5748.195550442635,10,PER
-5716.0,-5851.0,11,PER
-5719.855021689448,-5858.235009174193,11,PER
-5734.0,-5889.0,11,PER
-5743.788274678991,-5910.508402479604,11,PER
-5774.0,-5979.0,11,PER
-5791.763845142013,-6028.039674868201,11,PER
-5802.0,-6063.0,11,PER
-5813.790891000767,-6115.735312661795,11,PER
-5817.0,-6142.0,11,PER
-5816.128798589732,-6196.180503494354,11,PER
-5815.0,-6213.0,11,PER
-5810.12425404051,-6265.345759510613,11,PER
-5808.0,-6275.0,11,PER
-5790.687332792509,-6320.613767823988,11,PER
-5783.0,-6335.0,11,PER
-5750.511124742555,-6381.925579220348,11,PER
-5744.0,-6390.0,11,PER
-5702.044172036751,-6435.194638854301,11,PER
-5699.0,-6438.0,11,PER
-5648.0,-6477.0,11,PER
-5646.546819064708,-6477.908662341082,11,PER
-5593.0,-6505.0,11,PER
-5585.894832447109,-6507.861963509045,11,PER
-5533.0,-6525.0,11,PER
-5519.607286658558,-6528.320698113239,11,PER
-5468.0,-6537.0,11,PER
-5446.548197172008,-6538.324884243799,11,PER
-5395.0,-6537.0,11,PER
-5364.784210684961,-6533.646326103743,11,PER
-5317.0,-6525.0,11,PER
-5276.666864650518,-6515.091398595785,11,PER
-5233.0,-6502.0,11,PER
-5183.600184618038,-6484.347757072875,11,PER
-5147.0,-6469.0,11,PER
-5088.084150393937,-6440.035493597619,11,PER
-5058.0,-6424.0,11,PER
-4986.800158803113,-6384.161824609804,11,PER
-4964.0,-6371.0,11,PER
-4883.46963702941,-6323.499888268639,11,PER
-4869.0,-6315.0,11,PER
-4775.925691264999,-6261.343565805161,11,PER
-4770.0,-6258.0,11,PER
-4668.0,-6202.0,12,SAI
-4665.129895522099,-6200.471641026917,12,SAI
-4559.0,-6146.0,12,SAI
-4545.608148287961,-6139.483148077135,12,SAI
-4443.0,-6092.0,12,SAI
-4418.346108701981,-6081.135717793196,12,SAI
-4324.0,-6041.0,12,SAI
-4287.525167196895,-6025.789523238841,12,SAI
-4201.0,-5990.0,12,SAI
-4151.9592901697515,-5969.641097781721,12,SAI
-4075.0,-5937.0,12,SAI
-4014.2098670731566,-5909.950556216816,12,SAI
-3949.0,-5879.0,12,SAI
-3877.2153199260465,-5841.733152798213,12,SAI
-3824.0,-5812.0,12,SAI
-3742.1124069117964,-5762.720900272713,12,SAI
-3701.0,-5736.0,12,SAI
-3609.902380217183,-5671.382496540695,12,SAI
-3591.0,-5657.0,12,SAI
-3482.761552957812,-5567.829275464091,12,SAI
-3475.0,-5561.0,12,SAI
-3364.0,-5456.0,12,SAI
-3361.5590422200617,-5453.495461751389,12,SAI
-3260.0,-5341.0,12,SAI
-3248.509996988031,-5327.422494191084,12,SAI
-3161.0,-5218.0,12,SAI
-3141.4149068552742,-5191.717717340971,12,SAI
-3067.0,-5087.0,13,PER
-3039.692567779956,-5048.07558861566,13,PER
-2975.0,-4955.0,13,PER
-2955.8453555610004,-4927.058742900072,13,PER
-2884.0,-4821.0,13,PER
