X,Y,Minisector,Fastest
1225.6723066423292,-1174.6571396362256,0,NOR
1165.0,-1191.0,0,NOR
1151.8443401266431,-1194.535131263051,0,NOR
997.7678628871704,-1235.794589273559,0,NOR
997.0,-1236.0,0,NOR
844.0,-1277.0,0,NOR
784.8637093585269,-1292.9819901792785,0,NOR
674.0,-1323.0,0,NOR
628.8149927644166,-1335.152719875833,0,NOR
503.0,-1369.0,0,NOR
441.28443456965766,-1385.865125294649,0,NOR
331.0,-1416.0,0,NOR
253.22531773512733,-1436.7004862692245,0,NOR
173.0,-1458.0,0,NOR
64.63329389341027,-1487.4013020310504,0,NOR
0.0,-1505.0,0,NOR
-125.46320374042182,-1538.9055022473374,0,NOR
-174.0,-1552.0,0,NOR
-315.4837435790892,-1590.216624687914,0,NOR
-348.0,-1599.0,0,NOR
-505.4033811889493,-1641.5119953933176,1,ALO
-522.0,-1646.0,1,ALO
-681.0,-1689.0,1,ALO
-695.2837425396874,-1692.8464158462402,1,ALO
-856.0,-1736.0,1,ALO
-886.2221996268509,-1744.1475328896317,1,ALO
-1030.0,-1783.0,1,ALO
-1076.80984896515,-1795.5928878238553,1,ALO
-1204.0,-1830.0,1,ALO
-1265.743013169129,-1847.154024880785,1,ALO
-1361.0,-1874.0,1,ALO
-1454.344848190171,-1900.3222800657602,1,ALO
-1535.0,-1923.0,1,ALO
-1642.8145398562915,-1953.1288842725714,1,ALO
-1707.0,-1971.0,1,ALO
-1831.9490238955254,-2005.7015163458743,1,ALO
-1880.0,-2019.0,1,ALO
-2019.1233444677116,-2057.351531794701,1,ALO
-2036.0,-2062.0,1,ALO
-2198.5841168737834,-2106.616643659225,2,ALO
-2200.0,-2107.0,2,ALO
-2346.0,-2146.0,2,ALO
-2357.2088153355508,-2148.997581687974,2,ALO
-2473.0,-2180.0,2,ALO
-2491.524927207338,-2184.8660038548946,2,ALO
-2572.0,-2205.0,2,ALO
-2599.9232824236933,-2211.4188546119044,2,ALO
-2681.0,-2228.0,2,ALO
-2733.98936421537,-2235.6609029248525,2,ALO
-2777.0,-2240.0,2,ALO
-2833.5432679584133,-2243.6571999896596,2,ALO
-2866.0,-2244.0,2,ALO
-2925.972397144686,-2240.0022417170503,2,ALO
-2942.0,-2238.0,2,ALO
-3014.2180655141356,-2224.0932267090197,2,ALO
-3022.0,-2222.0,2,ALO
-3082.684137562404,-2200.806494511722,2,ALO
-3096.0,-2195.0,2,ALO
-3157.7601032252587,-2161.9750556156887,2,ALO
-3164.0,-2158.0,2,ALO
-3225.467547970487,-2111.464048192762,2,ALO
-3226.0,-2111.0,2,ALO
-3276.0,-2061.0,2,ALO
-3284.2451674481067,-2050.9472786996375,2,ALO
-3321.0,-1997.0,2,ALO
-3324.6307760242134,-1990.8590149086797,2,ALO
-3362.0,-1921.0,2,ALO
-3369.405783373929,-1906.9392176591246,2,ALO
-3405.0,-1840.0,2,ALO
