Minisector,NOR,STR,Fastest
0,290.3508853439891,284.5735228014629,NOR
1,293.98530756491226,290.29798302645503,NOR
2,161.00748405814335,167.145490332754,STR
3,221.66144579079025,216.10799863466664,NOR
4,270.5184090032307,268.88104074666666,NOR
5,287.2739036310777,289.35835021071057,STR
6,286.01638472982455,293.27816441102755,STR
7,181.13004425851483,180.06276532299879,NOR
8,122.45308413708716,119.66722487394357,NOR
9,246.9465772315315,246.62427018719768,NOR
10,280.34224373998495,280.9962713263158,STR
11,285.1342593185185,288.71574080000005,STR
12,150.95077047041738,148.59322202953436,NOR
13,188.2830128056923,186.5959810151709,NOR
14,254.26704814712755,244.77413823883256,NOR
15,195.40233570679882,208.71005186813187,STR
16,215.1202930348836,205.5969646036521,NOR
17,213.31676643809524,211.12296300659338,NOR
18,244.2339889910008,238.98644597857444,NOR
19,276.71111202215843,271.64431783051236,NOR
20,290.2244708740741,289.5773178867168,NOR
21,265.994029911133,257.9318016966014,NOR
22,227.3190850297104,213.58942466227106,NOR
23,202.79321683488993,194.05610918076567,NOR
24,262.0431807259546,257.25574926079065,NOR
25,279.66250026666665,274.4249984,NOR
