Minisector,BOT,LEC,Fastest
0,265.64967938461535,267.61504096117216,LEC
1,252.6031937241925,244.04719215407408,BOT
2,173.24304245283557,153.02152207017716,BOT
3,250.6378558018405,251.65750125569184,LEC
4,276.6744790920635,275.9210068888889,BOT
5,193.44096944021908,183.1206620010734,BOT
6,127.19294244277317,117.32235093213806,BOT
7,165.55943307515858,168.48553417212435,LEC
8,262.6650395704632,262.64722213333334,BOT
9,183.6830368,175.31236068059545,BOT
10,189.6496733742095,189.84999930980393,LEC
11,260.6853807725714,257.9254335251679,BOT
12,242.3147903916975,235.07232133333332,BOT
13,263.31480924038095,259.8440111197329,BOT
14,288.1408014041805,286.8655795478261,BOT
15,287.03083997083354,288.7651289564069,LEC
16,156.31470287539085,150.6026688614888,BOT
17,245.66040489876542,241.32782664888092,BOT
18,288.29249054545903,288.14208058964806,BOT
19,300.2033530801674,300.3388257454545,LEC
20,305.00795447272725,306.00941672341315,LEC
21,308.75122751304775,312.76190468934243,LEC
22,152.40457895196297,144.99049445277757,BOT
23,98.35445079555426,92.59669344537258,BOT
24,184.89509012683752,183.996569458295,BOT
25,246.16418138561,,BOT
