Minisector,HAM,VET,Fastest
0,245.82190707837185,242.55471255281518,HAM
1,280.38888888888886,268.36733333333336,HAM
2,186.66390376230257,184.1382699685731,HAM
3,158.7510204335601,156.5035725460033,HAM
4,259.3979295976884,258.0570512820513,HAM
5,265.68666666666667,259.77362182564104,HAM
6,222.77760746666667,206.28480392156862,HAM
7,203.30465684705882,198.97080953904762,HAM
8,152.9703787878788,147.91102988054902,HAM
9,209.60827691556415,209.3421875,HAM
10,269.1333333333333,265.10160258461536,HAM
11,128.6091040213733,127.59507205364712,HAM
12,208.22836585540256,208.3653298761101,VET
13,271.01914285714287,265.55685837705465,HAM
14,292.30605654819226,286.5966666666667,HAM
15,300.72234454717994,290.722463768116,HAM
16,247.4896551724138,237.94537439344913,HAM
17,138.38112447916774,135.45080795241554,HAM
18,131.93311719209026,129.09593114004088,HAM
19,123.07596295824702,120.18807447792774,HAM
20,223.2394409414204,218.55499999999998,HAM
21,249.1635802469136,249.59225486549084,VET
22,240.8013380441843,235.07611111111112,HAM
23,222.32775855118467,218.64775428199337,HAM
24,140.67900643796855,139.16240319378036,HAM
25,213.79166933333335,,HAM
