Minisector,VER,BOT,Fastest
0,247.90206491257084,249.6927316597456,BOT
1,280.8165631006211,283.63489582222223,BOT
2,193.11311157849673,176.29436927682931,VER
3,152.31039570001292,156.8459193013248,BOT
4,258.8199071604938,258.9646666666667,BOT
5,268.4036856485696,263.9054587281693,VER
6,223.77763914666667,210.77708333333334,VER
7,195.3450229827991,192.2261758916974,VER
8,151.34589595154222,151.18973355496473,VER
9,209.57217197619048,212.57135416666665,BOT
10,274.9448333482667,270.7931393755933,VER
11,127.09583409382715,122.47664399098485,VER
12,202.4861101381818,215.21740389444295,BOT
13,268.4737178666667,272.4415347785209,BOT
14,287.056965543437,293.6608210570259,BOT
15,294.580303030303,302.69909421449273,BOT
16,256.14806301092324,224.08820680376695,VER
17,134.89728418935775,132.2283800112299,VER
18,129.25690242344322,130.2273410817138,BOT
19,121.36456669528445,118.44812626759175,VER
20,223.87590443367682,228.64275450640395,BOT
21,256.71739865387144,250.06165162818547,VER
22,245.26717740408162,224.40635556374806,VER
23,224.3432066608055,203.75206837369035,VER
24,138.73034992691638,139.32347890514248,BOT
25,206.0,,VER
