Minisector,PER,NOR,Fastest
0,248.41114573019132,249.1296373599979,NOR
1,214.49268704131686,207.03993879064063,PER
2,195.15330142037396,201.4482635240475,NOR
3,252.3961282733073,256.37639891301586,NOR
4,269.2830848736508,270.455150105176,NOR
5,288.33719580444443,278.05936981157026,PER
6,175.78163600093353,163.12795202678186,PER
7,172.20979807922566,186.84275382695844,NOR
8,265.32554233627707,263.60878740450374,PER
9,291.49808682601207,288.85044126952573,PER
10,303.9379887934694,296.89508236952395,PER
11,304.9792849907056,291.1860819327731,PER
12,114.23014304253968,115.75390408963274,NOR
13,182.19845702737504,182.57778819726036,NOR
14,268.49236391102465,265.05079191413455,PER
15,294.8359893768575,290.81065692659394,PER
16,301.3876867121344,290.86279463218045,PER
17,184.85998506119142,183.77619897591404,PER
18,217.9152854626176,218.32967001900582,NOR
19,262.5529462466032,259.9963855365748,PER
20,156.87139854686475,159.1166600740424,NOR
21,139.70127910290398,143.85263203158064,NOR
22,215.78078314113378,218.96154282193567,NOR
23,236.9507211823666,232.9656596296296,PER
24,149.41032703293843,158.87874959964878,NOR
25,220.89999786666667,224.8375008,NOR
