Minisector,VER,RIC,Fastest
0,250.7917214061799,249.88069260606062,VER
1,209.54893178439343,200.95307160430107,VER
2,199.505002469102,196.16573960357144,VER
3,244.94681732810668,250.92043715109187,RIC
4,262.6321949990365,265.6865144295873,RIC
5,284.8035393906884,280.2930654609524,VER
6,160.98028056649494,157.10191578753486,VER
7,176.12564148325924,170.87983977155056,VER
8,262.7715078731575,261.6220527087844,VER
9,291.2967874200979,288.6086914545029,VER
10,302.7136365028572,299.44946146394557,VER
11,303.11401593322364,297.9103460013072,VER
12,108.12383696031827,108.07911078070272,VER
13,189.85960870944746,185.7235693190957,VER
14,268.2834803697101,268.0017981706293,VER
15,294.8600680406349,291.3938686934744,VER
16,296.0012921329594,295.5936309774465,VER
17,175.2322742430427,179.91623203488894,RIC
18,206.81014205968253,216.0669977470008,RIC
19,260.37548375828675,263.5018684148148,RIC
20,152.69799246532494,150.1110591387048,VER
21,144.42372061313839,135.75215172103879,VER
22,218.97651574564102,206.98967263274008,VER
23,230.25236792625722,219.0116527679797,VER
24,153.21679454348524,153.3533760450438,RIC
25,225.0857142857143,221.7500096,VER
