Minisector,HAM,RIC,Fastest
0,286.12484583672517,284.11583521737214,HAM
1,289.5014498294612,288.41541498311113,HAM
2,171.75073935952815,157.2134997095164,HAM
3,224.53462861687785,220.65885996576898,HAM
4,270.80764398571426,269.30313464701754,HAM
5,291.34841477235767,289.5833957131628,HAM
6,294.9640283835828,295.32501591425427,RIC
7,168.47631374216112,176.08788657827662,RIC
8,124.42911916941904,125.68346538089979,RIC
9,246.63255778285716,245.55079336227968,HAM
10,282.8187104474272,282.17855804444446,HAM
11,294.82546732952386,293.56580823703706,HAM
12,136.64678131355458,139.9530171346531,RIC
13,194.1077834001517,187.1789307998753,HAM
14,256.8367627115458,254.7122013637385,HAM
15,191.26800949371636,197.52582928699627,RIC
16,217.30149687329663,222.790763847706,RIC
17,210.40134839731093,201.6929205294686,HAM
18,240.53083779794775,237.6796350555066,HAM
19,274.59449708095696,273.6309972376689,HAM
20,292.0356724850356,290.4656779649673,HAM
21,258.89404171286526,253.51459596926986,HAM
22,225.2635017324043,215.91960724768953,HAM
23,200.17262941822474,196.11147369227083,HAM
24,259.6657084776419,258.6934570047224,HAM
25,275.7656256,,HAM
