Minisector,LEC,RIC,Fastest
0,288.80079210574314,284.11583521737214,LEC
1,295.7511004025895,288.41541498311113,LEC
2,164.69012849662337,157.2134997095164,LEC
3,220.61453721125346,220.65885996576898,RIC
4,272.66165118239894,269.30313464701754,LEC
5,294.15437064400487,289.5833957131628,LEC
6,300.16873026750585,295.32501591425427,LEC
7,176.12526755714026,176.08788657827662,LEC
8,125.73377217442246,125.68346538089979,LEC
9,248.30130327953214,244.31832246886552,LEC
10,284.5406984,281.4014511204859,LEC
11,296.64225015945567,293.56580823703706,LEC
12,150.49974845454207,139.9530171346531,LEC
13,197.40744974585215,187.1789307998753,LEC
14,256.8330511280423,254.7122013637385,LEC
15,202.8442568772136,197.52582928699627,LEC
16,225.38710218182916,222.790763847706,LEC
17,220.3537469109226,201.6929205294686,LEC
18,248.27340566336616,237.6796350555066,LEC
19,280.3093045688889,273.6309972376689,LEC
20,296.82042132374704,290.4656779649673,LEC
21,270.12086906236766,253.51459596926986,LEC
22,231.97823689650795,215.91960724768953,LEC
23,208.28080918511506,196.11147369227083,LEC
24,265.23850468350787,257.7208712827626,LEC
25,,276.2,RIC
