Minisector,HAM,RIC,Fastest
0,278.3003276530027,282.59905127961474,RIC
1,153.40514383382182,157.94177584017072,RIC
2,143.9576728886516,138.26180387777066,HAM
3,224.47766894100582,224.41703128021805,HAM
4,278.3307280295731,280.200170109899,RIC
5,277.652794531174,282.8591606686693,RIC
6,140.18624247954818,141.64134013708355,RIC
7,142.48602093958146,138.61637713525798,HAM
8,136.993057932143,137.29103197798585,RIC
9,188.82636964486773,183.69467853117823,HAM
10,127.70948490845609,123.40414803278438,HAM
11,119.31969041196854,116.94958977365137,HAM
12,170.33062227277438,163.43179385982907,HAM
13,264.4480412312534,264.2690027381523,HAM
14,282.9460886817738,283.5018571291428,RIC
15,147.62198755477812,140.06123709332357,HAM
16,202.60134898031748,199.59321253918426,HAM
17,174.99202713491968,167.67845259477943,HAM
18,267.84736152540785,268.30802459337144,RIC
19,288.9819136514533,289.73785702349204,RIC
20,300.8903206836017,302.55644923388667,RIC
21,308.94150971273984,310.82047616,RIC
22,312.02751324444444,313.4640350690059,RIC
23,314.0391086277879,315.7401458796312,RIC
24,309.95197451130434,313.6745022531602,RIC
25,,308.0,RIC
