Minisector,PER,RIC,Fastest
0,283.4921674479214,282.59905127961474,PER
1,147.6112854934123,157.94177584017072,RIC
2,146.8052909965715,138.26180387777066,PER
3,223.58373688474202,224.41703128021805,RIC
4,283.71843692022264,280.512163305503,PER
5,287.86921784470275,282.6254861536088,PER
6,142.22419462419552,142.46815894404136,RIC
7,145.9897813969263,137.77844594909706,PER
8,142.87998976372924,137.29103197798585,PER
9,192.60207945231934,183.69467853117823,PER
10,131.82279371833656,123.40414803278438,PER
11,122.5261919797154,116.73994784779784,PER
12,161.47830278744289,166.8676912957265,RIC
13,266.13372042045586,265.3676550311155,PER
14,290.9722796143251,283.5018571291428,PER
15,152.68803513729424,140.06123709332357,PER
16,204.13276553642908,199.59321253918426,PER
17,174.53605642820858,170.22250417495346,PER
18,271.09236497212584,269.3208589514286,PER
19,294.1481150793651,289.94834274255237,PER
20,309.9063708043625,303.22311590055335,PER
21,316.92801599061244,310.911499968,PER
22,320.55095030643275,313.4640350690059,PER
23,323.19760418666664,315.8301354596575,PER
24,320.64180672268907,313.5161452175964,PER
25,316.02999936,308.0,PER
