Minisector,RUS,ALO,Fastest
0,287.78633007414646,287.5588780283541,RUS
1,297.88356554308126,297.4565767529412,RUS
2,270.64293791492065,279.0554927392562,ALO
3,108.9730352518624,104.82810787750297,RUS
4,217.1561518880465,217.94253165488536,ALO
5,268.58119417918675,269.13421691370235,ALO
6,211.0730583780642,199.02298542555008,RUS
7,159.25679642763427,155.42725032121814,RUS
8,216.98895831752776,208.36374029943457,RUS
9,219.8042824521368,210.47825520505373,RUS
10,111.77861468290442,117.3956119732336,ALO
11,224.62309989812778,222.53820479244754,RUS
12,111.32352613092834,120.38297726600675,ALO
13,214.7432339635108,215.5848834603338,ALO
14,273.4428390387686,270.1778045931094,RUS
15,215.01329622839003,213.53735640795819,RUS
16,195.63637471511692,187.4726266270002,RUS
17,248.54767187936508,244.96011884156178,RUS
18,199.85630137874497,201.15880024711993,ALO
19,178.62921657482764,171.63307397612047,RUS
20,258.7858097156514,252.48968563102218,RUS
21,285.7337686067019,282.5919116862745,RUS
22,171.09029766069472,178.26975688630023,ALO
23,212.7017653079365,197.4845675808534,RUS
24,268.7730121191526,266.511917872621,RUS
25,281.0,281.6028124,ALO
