Minisector,LEC,ALO,Fastest
0,275.1438111613968,273.77403319838385,LEC
1,295.93170087785734,294.44881273993826,LEC
2,295.20112467167917,288.13740700422363,LEC
3,182.46538389021944,162.42542276909305,LEC
4,116.59633444672015,119.7956509338925,ALO
5,232.5276931029228,233.77660541817548,ALO
6,278.70654167466665,287.565809513347,ALO
7,291.1714339667725,297.59817589079364,ALO
8,175.27427869213608,168.87380214731218,LEC
9,141.05385110480896,136.45178413651487,LEC
10,246.58816492685423,248.27795530252791,ALO
11,287.2868067970724,285.5118664475698,LEC
12,301.7695502899471,290.61434688,LEC
13,277.95556890189073,277.1295345088831,LEC
14,295.0473244092562,294.6944179642526,LEC
15,296.73920626109117,296.4417517100501,LEC
16,252.5837780056104,239.80352852391655,LEC
17,217.7010610158016,218.98824402421357,ALO
18,274.63669234688706,282.05109952163787,ALO
19,297.01476449209343,311.56797446646164,ALO
20,299.510514980304,311.7268195957005,ALO
21,229.43339487998907,221.00249036690218,LEC
22,256.3113415851764,254.6283010962916,LEC
23,137.318510127523,127.67888132280783,LEC
24,216.81510448454347,219.42652312416803,ALO
25,258.6041706666667,,LEC
