Minisector,LEC,ALO,Fastest
0,284.2882060882563,275.1022994048707,LEC
1,112.08921616653497,116.14147873902515,ALO
2,166.77141153400402,143.64896655301587,LEC
3,208.3188788193132,204.77714040543367,LEC
4,165.32567223355022,158.94333185907072,LEC
5,242.62546998071426,237.10043335928222,LEC
6,190.28200497936027,225.88925556363637,ALO
7,136.9059964557623,129.336707397563,LEC
8,234.91654748030302,224.12799862615876,LEC
9,272.7143419793547,273.6781810439493,ALO
10,273.50925626912715,285.1958007260106,ALO
11,147.3958869908304,143.40922749763018,LEC
12,220.14529379447438,203.18193965383023,LEC
13,266.3293863041604,260.7052955777443,LEC
14,254.60357463288886,262.50650099200004,ALO
15,99.6369381877086,99.03256213427191,LEC
16,219.69305673387416,202.34351554377142,LEC
17,271.3645919181105,265.59673316934243,LEC
18,293.14118458,294.8001324405602,ALO
19,305.022841701813,312.68141791391463,ALO
20,311.1918816160847,323.0216231771429,ALO
21,280.1589285123271,295.73014253291007,ALO
22,152.11564407809996,139.0113241672392,LEC
23,233.7219451387707,222.65904697142378,LEC
24,278.55472480717475,277.48778731830305,LEC
25,,291.29545425454546,ALO
